participant.label,participant.id_in_session,participant.code,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.high_percent_image,group.low_percent_image,group.reversal_happened,subsession.round_number,session.code,age,education,gender,lsas_p,lsas_s,dass_a,dass_d,dass_s,ssms_cd,ssms_ia,srp_sf_ipm,srp_sf_ca,srp_sf_els,srp_sf_ct,ami_es,ami_sm,ami_ba,ssms,dass,lsas,srp_sf,ami,aq_10,player.main_task_bonus,player.task_understanding,player.task_difficulty,player.engagement,player.influence,player.real_players,player.attention_focus,player.main_task_group_id
673f6ffebce20832346325de,5,lxmv0a2d,2,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.25,0.75,NA,NA,1,1,1,1,0,1,1,2,2,0.82,0.96,0.59,0.73,0.56,60,60,100,100,100,0,0,1,0,0,0,0,2,2,1,2,2,2,2,1,0,0,1,0,0,0,0,1,-1,-1,-1,1,0,0,1,0,1,0,1,0,0,4,1,0.88,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,74u25ss6,40,7,2,51,32,8,10,16,4,6,10,7,11,7,8,16,11,10,34,83,36,35,4,0.33,100,20,100,80,100,100,4
63c80a427dfa1305502df5a8,13,be5h8zxa,2,right,left,NA,NA,2,2,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1B.bmp,2,0.5,0.5,0,1,NA,NA,1,0,1,1,1,1,0,2,1,6.92,2.84,1.09,1.24,0.34,40,-40,80,0,0,0,0,-1,0,0,0,0,1,2,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,3,1,6.92,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,74u25ss6,60,4,1,8,3,0,0,0,1,1,8,11,17,8,7,8,3,2,0,11,45,18,5,0,100,55,100,0,100,70,3
6658b14f04e819e67ebcf3ff,21,ksuzvacs,1,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,0.73,1.06,0.83,0.4,1.42,-60,-60,-40,-40,-40,0,0,-1,0,0,0,0,2,1,2,1,2,1,2,1,0,1,0,1,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,3,1,1.3,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,7c22l6eb,36,7,1,0,0,0,0,2,0,1,8,10,9,7,5,2,2,1,2,0,35,9,1,0,100,22,100,16,100,95,3
5c2d0d21e263990001799ef3,24,8nv8bxo3,2,right,right,NA,NA,2,2,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,0.52,0.18,0.74,0.35,0.3,-40,-40,0,0,0,0,0,-1,0,0,0,0,2,1,2,1,2,1,2,1,0,1,0,1,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,3,1,1.3,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,7c22l6eb,31,4,2,65,63,12,12,20,10,1,7,7,14,7,1,20,15,11,44,128,36,36,3,0,100,81,100,59,100,100,3
60e4949dd5c2941c69e48621,32,6dz8gkyw,4,right,right,NA,NA,2,2,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,1.3,1.1,1.35,1.69,1.1,-40,-40,20,20,20,0,0,-1,0,0,0,0,2,2,1,1,2,2,1,1,0,0,1,1,0,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,3,1,1.3,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,7c22l6eb,40,7,1,22,13,0,2,8,0,1,11,12,10,7,4,10,12,1,10,35,41,26,0,1.33,100,60,100,60,100,100,3
67607c67fcf3f8b4093a8356,57,5keo9prz,2,right,right,NA,NA,2,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,3.76,0.85,0.49,0.49,0.46,-40,-60,0,0,0,0,0,-1,0,0,0,0,2,2,1,1,2,1,1,2,0,0,1,1,0,1,1,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,5,1,4.18,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,pux7wcw8,39,8,2,3,10,4,2,6,2,2,7,7,7,11,4,10,4,4,12,13,33,18,9,0,80,37,93,92,100,88,5
5c921106b788a2000170709f,63,w8c2aism,4,left,left,NA,NA,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.25,0.75,NA,NA,1,1,2,2,0,1,1,2,2,4.18,1.66,1.47,1.16,0.22,20,20,80,80,80,0,0,1,0,0,0,0,2,2,2,1,2,2,1,2,0,0,0,1,0,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,5,1,4.18,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,pux7wcw8,43,7,1,28,28,4,35,30,5,6,7,10,14,8,5,22,16,11,72,56,40,43,3,0.97,100,72,62,0,100,50,5
6658b4ff0f6362e1f068dd84,75,3yj9h1ty,1,left,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.25,0.75,NA,NA,1,1,2,2,0,1,1,2,2,0.83,1.01,0.56,1.07,0.46,40,40,60,60,60,0,0,1,0,0,0,0,1,2,1,2,2,2,1,2,1,0,1,0,0,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,4,1,1.09,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,hi63wwdi,32,5,2,62,54,20,24,20,8,7,7,12,16,7,3,18,11,15,64,116,43,32,4,0.1,100,40,100,60,100,70,4
67894339aa346efa2532bf8d,86,axed887j,5,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,1.09,1.04,0.43,0.34,0.33,-60,-60,-40,0,0,0,0,-1,0,0,0,0,1,1,2,1,1,2,2,1,1,1,0,1,1,0,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,4,1,1.09,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,hi63wwdi,37,7,1,16,10,14,16,10,4,4,13,13,15,16,12,13,14,8,40,26,59,39,3,0,100,63,81,53,100,76,4
656de94bf069f0a1446f47c5,88,q5huhm41,3,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,0.94,0.82,0.77,0.99,0.82,-60,-60,0,0,0,0,0,-1,0,0,0,0,1,1,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0,4,1,1.09,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,hi63wwdi,37,5,2,24,19,2,0,0,3,1,7,8,9,8,5,10,5,4,2,43,33,20,3,0,38,99,100,64,100,100,4
