participant.label,participant.id_in_session,group.trial_number,is_consecutive,choice_switch_across_trials,outcome_value,switch_difference,consensus_numeric,consensus_level,direction,trial_type
63c80a427dfa1305502df5a8,13,2,TRUE,0,0,0,1,3:1,With group,Stay
6765877a0722b290bb4ab344,14,2,TRUE,0,100,0,1,3:1,With group,Stay
604541676af7216614098dde,16,2,TRUE,0,100,0,1,3:1,With group,Stay
6658b14f04e819e67ebcf3ff,21,2,TRUE,1,100,1,1,3:1,With group,Switch
5c2d0d21e263990001799ef3,24,2,TRUE,0,0,0,2,4:0,Against group,Stay
62fb8ef806ee6962abefc45e,27,2,TRUE,0,100,0,1,3:1,With group,Stay
60e4949dd5c2941c69e48621,32,2,TRUE,1,100,1,1,3:1,With group,Switch
631624eda5f1f762834e370d,34,2,TRUE,0,100,0,1,3:1,With group,Stay
660453c9877e571d12b555f7,43,2,TRUE,0,100,0,0,2:2,Against group,Stay
60154af277ec314fd8fe1449,48,2,TRUE,0,100,0,1,3:1,With group,Stay
62b44f66a16d45783569fad6,49,2,TRUE,0,100,0,1,3:1,With group,Stay
6744d143eddffd17d345b192,50,2,TRUE,1,100,1,1,3:1,With group,Switch
664212577c09653c94741aab,51,2,TRUE,1,100,1,0,2:2,Against group,Switch
6266b0409582f553a3e10d9a,53,2,TRUE,1,100,1,0,2:2,Against group,Switch
5eadaff848b26f4483ae62d9,56,2,TRUE,0,100,0,1,3:1,With group,Stay
67607c67fcf3f8b4093a8356,57,2,TRUE,0,0,0,1,3:1,Against group,Stay
6760765e6a687b2878284f5e,58,2,TRUE,1,100,1,0,2:2,Against group,Switch
5bb7abf3c190e20001e5c2c8,59,2,TRUE,1,0,1,1,3:1,Against group,Switch
666a1e606b80f9865c1f3d5f,60,2,TRUE,0,0,0,1,3:1,Against group,Stay
6753746b1f8827e2bd586bf0,61,2,TRUE,0,0,0,0,2:2,Against group,Stay
672a94165edd330fd1919b86,62,2,TRUE,0,0,0,2,4:0,Against group,Stay
