participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
3,a3u4qf5m,671cf3faf9e7ffc0d41db198,1,left,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,1,1,0,1,1,2,2,1.42,1.64,0.43,0.72,1.02,40,40,80,60,60,0,0,1,0,0,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,1,0,0,5,1,1.73,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
4,y3p4a7uh,53a18b8ffdf99b79ca51df6e,5,NA,left,left,NA,1,1,option1B.bmp,option1A.bmp,-1,option1B.bmp,1,option1B.bmp,1,0.5,0.5,0.5,0.5,option1A_tr.bmp,NA,0,0,1,0,0,0,0,2,1,7.45,1.33,3,NA,3,-20,-20,0,0,0,0,0,-1,1,1,1,1,2,1,2,1,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,-1,-1,1,0,0,0,0,0,0,0,0,1,3,1,7.45,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
5,mq4tulsh,5ef6354b6d77930e716a2a1d,3,right,right,NA,NA,2,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,0.91,1.57,0.75,1.33,0.35,40,60,80,120,120,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,0,0,0,1,0,0,0,0,0,2,1,0.91,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
6,wb9vq28v,65df337b8dc407fe8c4369c1,2,right,right,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.75,0.25,NA,NA,1,1,2,1,0,1,1,2,2,0.6,1.77,1.14,1.32,0.44,60,40,100,80,80,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,0,0,0,1,0,0,0,0,0,2,1,0.91,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
7,atkbxrri,545d347afdf99b7f9fca22c7,2,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,1,2,0,1,1,2,2,1.54,1.31,1.02,0.52,0.45,60,60,120,120,120,0,0,1,0,0,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,1,0,0,5,1,1.73,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
8,9w8xkvz7,5b72e785fb359c0001d8f1c2,4,left,left,NA,NA,2,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,0.82,1.5,1.11,0.7,0.69,40,60,80,120,120,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,0,0,0,1,0,0,0,0,0,2,1,0.91,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
9,7usuwgrv,62714a240ed387f760f6741b,3,left,left,NA,NA,3,1,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,NA,NA,0,0,0,0,0,0,0,1,1,0.77,0.59,0.92,1.54,3,-60,-20,0,40,40,0,0,-1,0,0,0,1,2,1,1,1,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,-1,1,-1,0,0,0,1,0,0,0,1,0,3,1,7.45,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
12,1pj9mvd4,5f24956d52c72509677c5d85,5,NA,right,left,NA,1,2,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1B.bmp,2,1,0,0,1,option1A_tr.bmp,NA,1,0,2,1,1,1,0,2,1,0.64,3,3,2.33,0.77,20,-40,80,20,20,0,0,-1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,1,0.91,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
13,66i375or,5a81d2b6190420000155d995,5,right,right,NA,NA,2,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0,1,0,1,NA,NA,0,0,1,1,0,0,0,1,1,1.73,0.77,0.59,0.54,0.5,-40,-60,20,0,0,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,5,1,1.73,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
14,ulvjek94,614ee866eb22f6b60f499a91,5,NA,NA,left,left,2,3,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,option1B_tr.bmp,option1B_tr.bmp,0,0,0,0,0,0,0,1,1,0.75,3,3,3,3,-40,-60,-20,-20,-20,0,0,-1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,0,0,0,0,0,0,0,0,4,4,1,0.98,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
