participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
1,wg76txs9,66bcce7233ce3b6b5aaecd5e,2,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0,1,NA,NA,0,0,0,0,0,0,0,1,1,0.76,2.3,1.28,1.02,0.54,-60,-60,-40,0,0,0,0,-1,0,0,0,0,1,1,2,1,2,1,1,1,1,1,0,1,0,1,1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,4,1,0.76,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
2,zsdmu1cy,641ecfa9f83175a3d9f63636,5,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.25,0.75,NA,NA,1,1,1,1,0,1,1,2,2,0.63,0.75,0.47,0.6,1.26,40,40,100,100,100,0,0,1,0,0,0,0,1,2,2,2,2,1,1,2,1,0,0,0,0,1,1,0,-1,1,1,-1,1,1,1,0,0,0,0,0,0,5,1,0.85,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
3,1qea550s,607081b0ecb2499634a349dd,4,left,left,NA,NA,2,3,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,1,0,0.5,0.5,NA,NA,0,0,1,0,0,0,0,1,1,0.81,1.41,1.44,2.81,3,-40,-60,20,-20,-20,0,0,-1,0,0,0,1,2,2,2,2,2,1,1,2,0,0,0,0,0,1,1,0,-1,1,1,-1,0,0,0,1,0,1,0,1,0,6,1,1.21,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
4,tvjxjmb3,5c18daaae467040001e68fc4,2,left,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1B.bmp,2,0,1,0.25,0.75,NA,NA,1,0,2,1,1,1,0,2,1,0.32,0.75,0.38,0.41,0.31,60,-60,120,-40,-40,0,0,-1,0,0,0,0,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,-1,-1,1,-1,1,0,1,1,0,0,0,0,0,8,1,2.06,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
5,ryfpi8q6,642edde09e616b33709868d0,4,right,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.5,0.5,NA,NA,0,1,0,1,1,0,1,1,2,0.57,1.02,0.46,0.53,1.17,-60,60,0,120,120,0,0,1,0,0,0,0,1,2,1,1,2,2,1,1,1,0,1,1,0,0,1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,4,1,0.76,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
7,odedi3k6,60de3c34940c209d729e32b8,4,right,right,NA,NA,2,1,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0,1,NA,NA,0,0,0,0,0,0,0,1,1,0.38,2.25,1.25,0.82,0.43,-40,-20,0,20,20,0,0,-1,0,0,0,0,1,2,2,1,2,1,1,1,1,0,0,1,0,1,1,1,-1,1,1,1,1,1,1,0,0,0,0,0,0,5,1,0.85,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
9,z9etaxcc,66e84a9aeb1250e4e671ae2c,3,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,2,2,0,1,1,2,2,0.65,1.68,0.54,0.54,0.48,40,40,60,60,60,0,0,1,0,0,0,0,1,2,2,1,2,2,1,1,1,0,0,1,0,0,1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,4,1,0.76,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
11,un6k5phh,5ced66139b5b490001b688ed,1,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,1,0,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,1.21,0.89,1.26,0.86,2.18,-60,-60,0,0,0,0,0,-1,0,0,0,0,2,2,2,2,1,1,2,2,0,0,0,0,1,1,0,0,1,1,-1,-1,0,0,0,1,1,0,0,1,0,6,1,1.21,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
13,k6q60ycc,676c67883fa1ba4ea4eb05a7,2,right,left,right,NA,2,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.5,0.5,0.25,0.75,option1B_tr.bmp,NA,0,1,1,2,0,0,1,1,2,0.36,3,2.25,0.71,0.21,-40,40,80,80,80,0,0,1,1,0,0,0,1,2,2,1,2,1,2,1,1,0,0,1,0,1,0,1,-1,1,-1,1,1,1,0,0,0,0,0,0,1,5,1,0.85,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
15,yv9v2yo6,5774ed97d8e8880001b2ff6c,2,left,NA,NA,right,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,1,0,0.25,0.75,NA,option1A_tr.bmp,0,1,0,1,1,0,1,1,2,0.85,0.96,1.56,3,2.16,-40,40,-20,80,80,0,0,1,0,0,1,0,2,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,1,0,0,0,1,1,6,1,1.21,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
