participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
1,3zoti92b,63d7b16595cb392c4501cc1e,1,right,right,NA,NA,2,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,0.65,0.92,1.62,1.28,1.16,40,60,100,120,120,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,2,1,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
2,afizty10,603ab5961f94c168254f7104,2,right,right,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,1,0,1,1,2,1,0.5,0.75,1.35,0.79,0.8,60,40,100,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,2,1,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
3,esmriz5q,5e7e1679f8a96f4be83e51e4,2,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,1,2,0,1,1,1,2,12.37,0.82,0.41,1.27,3,40,40,0,80,80,0,0,1,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,12.37,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
4,5emixjgp,5f60c23b536ef9026ec9ece4,5,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,0.4,1.54,0.61,0.45,0.6,40,40,80,100,100,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,2,1,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
5,8f2qn992,671d39090c9e2ad9ec75a03c,4,right,right,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,12.03,2.9,3,1.88,0.1,60,40,100,80,80,0,0,1,0,1,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,12.37,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
6,u7ds9cx2,5b7550cb09105000015131ae,4,NA,NA,left,left,3,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,option1A_tr.bmp,option1A_tr.bmp,1,1,2,1,0,1,1,2,1,0.52,3,3,3,3,60,40,100,-20,-20,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,4,2,1,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
7,jmfhfc28,5ea1dc176205ad0c7c941ca1,5,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,2.5,1.73,0.72,1,0.75,60,60,100,100,100,0,0,1,0,0,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,0,0,1,1,0,0,0,0,4,1,2.5,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
9,799cuz13,66742c4307bb2004831faaef,3,right,left,NA,NA,3,1,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0,1,1,0,NA,NA,0,1,1,1,1,0,1,1,1,11.84,1.44,0.51,0.51,1.13,-60,20,0,-20,-20,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,12.37,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
10,5ndr17cw,62a338fe5f31e62c27dc5e66,3,NA,NA,right,left,2,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0,1,1,0,option1B_tr.bmp,option1A_tr.bmp,0,1,1,1,1,0,1,1,1,0.57,3,3,3,3,-40,40,-20,-20,-20,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,4,2,1,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
11,taqn9vla,66fc6008cda3d277a8978dbf,5,left,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,11.73,1.73,2.14,2.05,0.44,40,40,60,60,60,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,12.37,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
