participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.prolific_id,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ybm0l9oz,6758c717fcad115f0bba5c71,0,12,278,practice_task,WaitPage1,2025-02-03 11:57:18.764963,1,,,0.0,1,,0.0,6758c717fcad115f0bba5c71,1,1,spyhca1b,,,,,0
2,gju71kkt,66b8830e5812d8df82589ef3,0,278,278,submission,Submit,2025-02-03 11:58:51.701885,1,,,0.0,2,,0.0,66b8830e5812d8df82589ef3,1,1,spyhca1b,,,,,0
3,uq6siq7e,6274f9115634950cf5970f1c,0,278,278,submission,Submit,2025-02-03 11:59:32.179795,1,,,0.0,3,,0.0,6274f9115634950cf5970f1c,1,1,spyhca1b,,,,,0
4,vlocm0pi,5f305c9cf7fabe4adaf0de5d,0,278,278,submission,Submit,2025-02-03 12:00:01.209517,1,,,0.0,4,,0.0,5f305c9cf7fabe4adaf0de5d,1,1,spyhca1b,,,,,0
5,ihqgbl5n,5dd9a7ff98981d926df9ea18,0,278,278,submission,Submit,2025-02-03 12:00:09.934205,1,,,0.0,5,,0.0,5dd9a7ff98981d926df9ea18,1,1,spyhca1b,,,,,0
6,lk7z2cqx,63654bbd9fba7764c698ee95,0,43,278,main_task,MyPage,2025-02-03 12:00:12.551287,1,,,0.0,6,,0.0,63654bbd9fba7764c698ee95,1,1,spyhca1b,,,,,0
7,ftshhftn,645d03acd1302079adbc39f9,0,278,278,submission,Submit,2025-02-03 12:00:14.325516,1,,,0.0,7,,0.0,645d03acd1302079adbc39f9,1,1,spyhca1b,,,,,0
8,48r4j4sd,66b239b6a6912115ce1d9683,0,278,278,submission,Submit,2025-02-03 12:00:14.745719,1,,,0.0,8,,0.0,66b239b6a6912115ce1d9683,1,1,spyhca1b,,,,,0
9,0lqin6y8,5f953584d654c638ae82c4b2,0,10,278,instructions,FixDimensions,2025-02-03 12:00:15.950038,1,,,0.0,9,,0.0,5f953584d654c638ae82c4b2,1,1,spyhca1b,,,,,0
10,5rwam8pd,676edbd71b2d6c518eae7b45,0,278,278,submission,Submit,2025-02-03 12:00:16.024390,1,,,0.0,10,,0.0,676edbd71b2d6c518eae7b45,1,1,spyhca1b,,,,,0
11,zu04p29p,5f24a57c030da70af5ffd2bf,0,278,278,submission,Submit,2025-02-03 12:00:46.143968,1,,,0.0,11,,0.0,5f24a57c030da70af5ffd2bf,1,1,spyhca1b,,,,,0
12,l7o20yx5,5bcedec641f0710001c74dd5,0,47,278,main_task,MyPage,2025-02-03 12:03:32.759084,1,,,0.0,12,,0.0,5bcedec641f0710001c74dd5,1,1,spyhca1b,,,,,0
13,3iuvgb82,67824a019573a268b7457265,0,12,278,practice_task,WaitPage1,2025-02-03 12:05:11.392016,1,,,0.0,13,,0.0,67824a019573a268b7457265,1,1,spyhca1b,,,,,0
14,wgxn5o76,660d53230fb53d052ccacc14,0,12,278,practice_task,WaitPage1,2025-02-03 12:15:09.444936,1,,,0.0,14,,0.0,660d53230fb53d052ccacc14,1,1,spyhca1b,,,,,0
15,svgkrwah,6584ce0ee6aacaab711557b3,0,12,278,practice_task,WaitPage1,2025-02-03 12:17:19.581771,1,,,0.0,15,,0.0,6584ce0ee6aacaab711557b3,1,1,spyhca1b,,,,,0
16,ut6sqkt8,664eed479edce1893498cc04,0,12,278,practice_task,WaitPage1,2025-02-03 12:26:31.641265,1,,,0.0,16,,0.0,664eed479edce1893498cc04,1,1,spyhca1b,,,,,0
17,0cjmwkbv,672c99775b51436252e1b231,0,4,278,instructions,TaskInstructionsPage1,2025-02-03 12:40:26.736408,1,,,0.0,17,,0.0,672c99775b51436252e1b231,1,1,spyhca1b,,,,,0
18,ovqvska5,,0,0,278,,,,0,,,0.0,18,,0.0,,1,1,spyhca1b,,,,,0
19,2jhb1sf9,,0,0,278,,,,0,,,0.0,19,,0.0,,1,1,spyhca1b,,,,,0
20,9i2qdm4r,,0,0,278,,,,0,,,0.0,20,,0.0,,1,1,spyhca1b,,,,,0
