participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.chosen_image_computer,player.chosen_image_computer_two,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice2_earnings,player.choice2_sum_earnings,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,group.id_in_subsession,group.current_round,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,zcf1egr7,5c4338d8a04c050001a0a876,0,278,278,submission,Submit,2025-02-05 11:50:45.966159,1,,,0.0,1,,0.0,,,left,right,3,1,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,option1B_tr.bmp,option1A_tr.bmp,0.41,0.41,6.0,4.71,,2.52,20,20,0.0,1,1,0,1,0,0,0,0,1738757241.5072937,2,1,,1,0,3777,1,1738757243338.265,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,d6lvy1ol,,,,,0
2,0r57elef,607d6e86f96c147cf2b3223c,0,278,278,submission,Submit,2025-02-05 11:59:52.669938,1,,,0.0,2,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,,,0.57,0.57,0.6,1.26,0.35,0.68,40,40,0.0,1,0,0,0,0,1,0,0,1738757241.529697,2,1,,1,0,3777,1,1738757243338.265,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,d6lvy1ol,,,,,0
3,uro33w1j,5e3c759575109a055e99b38a,0,278,278,submission,Submit,2025-02-05 12:00:04.597039,1,,,0.0,1,,0.0,right,left,,,1,1,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,1,,,0.26,0.26,1.42,1.95,1.56,1.06,20,20,0.0,1,0,0,0,0,1,0,0,1738757480.5388465,3,1,,1,0,3822,1,1738757482526.1482,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,d6lvy1ol,,,,,0
4,v5uzjzeq,67862f57b5350ebed10fac1f,0,278,278,submission,Submit,2025-02-05 12:00:08.722873,1,,,0.0,3,,0.0,right,left,,,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,1,,,0.23,0.23,0.9,0.98,2.75,1.06,40,40,0.0,1,0,0,0,0,1,0,0,1738757241.4055727,2,1,,1,0,3777,1,1738757243338.265,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,d6lvy1ol,,,,,0
5,r0epnh5n,622bb4f79c52ad04bb91e752,0,278,278,submission,Submit,2025-02-05 12:00:12.160237,1,,,0.0,2,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1A.bmp,2,,,0.33,0.33,1.85,1.8,3.23,2.13,-40,-40,0.0,-1,0,0,0,0,1,0,0,1738757481.0743582,3,1,,1,0,3822,1,1738757482526.1482,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,d6lvy1ol,,,,,0
6,c8le880w,66095082185479f7db42d782,0,278,278,submission,Submit,2025-02-05 12:00:21.436295,1,,,0.0,4,,0.0,left,left,,,3,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,1,,,0.38,0.38,2.13,1.27,0.19,0.31,40,40,0.0,1,0,0,0,0,1,0,0,1738757241.4427001,2,1,,1,0,3777,1,1738757243338.265,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,d6lvy1ol,,,,,0
7,fe87ewee,610d4df86c4abc6b5ced6fa0,0,278,278,submission,Submit,2025-02-05 12:00:22.787471,1,,,0.0,3,,0.0,right,,,right,3,2,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1B.bmp,2,,option1B_tr.bmp,1.23,1.23,3.58,0.46,,5.94,-40,-40,0.0,-1,0,0,1,0,0,0,0,1738757481.6886282,3,1,,1,0,3822,1,1738757482526.1482,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,d6lvy1ol,,,,,0
8,vmj6j5sf,5e3024d69366c7000c4025ff,0,278,278,submission,Submit,2025-02-05 12:00:26.939095,1,,,0.0,4,,0.0,left,left,,,2,3,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1A.bmp,2,,,0.26,0.26,1.66,0.93,2.41,0.72,-60,-60,0.0,-1,0,0,0,0,1,0,0,1738757481.0593143,3,1,,1,0,3822,1,1738757482526.1482,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,d6lvy1ol,,,,,0
9,ljjdyf5m,607f63ce9ffa404fca0400a9,0,12,278,practice_task,WaitPage1,2025-02-05 12:00:38.595190,1,,,0.0,9,,0.0,,,,,0,0,,,0,,,,,,,,,,,,,0,0,0.0,,1,0,1,0,0,0,0,0.0,1,1,,,,0,0,,0.9,0.1,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,1,d6lvy1ol,,,,,0
10,rdw7kh1f,5d08aa3601331e0001b48923,0,12,278,practice_task,WaitPage1,2025-02-05 12:00:40.647620,1,,,0.0,10,,0.0,,,,,0,0,,,0,,,,,,,,,,,,,0,0,0.0,,1,0,1,0,0,0,0,0.0,1,1,,,,0,0,,0.9,0.1,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,1,d6lvy1ol,,,,,0
