"participant.id_in_session","group.trial_number","player.choice1_reward_binary","player.choice2_reward_binary"
1,1,0,0
2,1,0,0
3,1,0,0
4,1,1,1
5,1,0,0
6,1,1,0
7,1,0,1
8,1,1,0
11,1,1,1
12,1,0,1
1,2,1,1
2,2,1,1
3,2,1,1
4,2,1,1
5,2,1,1
6,2,1,1
7,2,0,0
8,2,0,0
11,2,0,0
12,2,0,0
1,3,1,1
2,3,1,1
3,3,1,1
4,3,1,1
5,3,0,0
6,3,1,1
7,3,1,1
8,3,1,1
11,3,1,1
12,3,1,1
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0
5,4,0,0
6,4,0,0
7,4,0,0
8,4,1,0
11,4,1,0
12,4,0,1
1,5,1,1
2,5,1,1
3,5,0,0
4,5,1,1
5,5,0,0
6,5,0,1
7,5,1,0
8,5,1,0
11,5,0,0
12,5,1,0
1,6,1,1
2,6,1,1
3,6,1,1
4,6,1,1
5,6,1,1
6,6,1,1
7,6,0,1
8,6,0,0
11,6,1,0
12,6,1,1
1,7,1,1
2,7,1,1
3,7,1,1
4,7,1,1
5,7,1,1
6,7,1,1
7,7,1,1
8,7,1,1
11,7,1,1
12,7,1,1
1,8,0,0
2,8,0,0
3,8,0,0
4,8,0,0
5,8,0,0
6,8,0,0
7,8,0,1
8,8,0,0
11,8,0,0
12,8,0,0
1,9,0,0
2,9,1,1
3,9,1,1
4,9,1,1
5,9,0,0
6,9,0,0
7,9,1,0
8,9,0,0
11,9,0,0
12,9,0,0
1,10,1,1
2,10,1,1
3,10,1,1
4,10,1,1
5,10,1,1
6,10,1,1
7,10,1,1
8,10,0,1
11,10,1,1
12,10,1,1
1,11,1,1
2,11,1,1
3,11,1,1
4,11,1,1
5,11,1,1
6,11,1,1
7,11,1,1
8,11,0,0
11,11,0,0
12,11,1,1
1,12,1,1
2,12,0,0
3,12,0,0
4,12,0,0
5,12,0,0
6,12,0,0
7,12,0,0
8,12,0,0
11,12,0,0
12,12,0,0
1,13,1,0
2,13,0,0
3,13,1,1
4,13,1,1
5,13,0,1
6,13,0,0
7,13,1,1
8,13,1,0
11,13,0,0
12,13,0,0
1,14,1,1
2,14,1,1
3,14,1,1
4,14,1,1
5,14,1,1
6,14,1,1
7,14,1,0
8,14,0,1
11,14,1,1
12,14,0,0
1,15,1,1
2,15,1,1
3,15,1,0
4,15,1,1
5,15,1,1
6,15,1,1
7,15,0,1
8,15,1,1
11,15,0,0
12,15,0,1
1,16,0,0
2,16,0,0
3,16,0,0
4,16,0,0
5,16,1,0
6,16,0,0
7,16,0,1
8,16,1,1
11,16,1,1
12,16,1,0
1,17,0,0
2,17,0,0
3,17,0,0
4,17,0,0
5,17,0,0
6,17,0,0
7,17,1,1
8,17,1,1
11,17,1,1
12,17,0,0
1,18,1,1
2,18,0,0
3,18,0,0
4,18,0,0
5,18,0,0
6,18,0,0
7,18,1,0
8,18,1,0
11,18,0,0
12,18,0,0
1,19,0,0
2,19,1,1
3,19,0,0
4,19,0,0
5,19,0,0
6,19,0,0
7,19,0,0
8,19,1,0
11,19,0,0
12,19,0,0
1,20,0,0
2,20,1,1
3,20,1,1
4,20,0,0
5,20,0,1
6,20,0,0
7,20,0,0
8,20,1,1
11,20,0,1
12,20,1,1
1,21,1,1
2,21,1,1
3,21,1,1
4,21,1,1
5,21,1,1
6,21,1,1
7,21,0,0
8,21,1,0
11,21,1,1
12,21,1,1
1,22,1,0
2,22,0,0
3,22,0,0
4,22,0,0
5,22,0,1
6,22,0,0
7,22,0,1
8,22,1,0
11,22,1,1
12,22,0,0
1,23,0,0
2,23,1,1
3,23,1,1
4,23,1,1
5,23,1,1
6,23,0,0
7,23,1,1
8,23,1,1
11,23,0,0
12,23,0,1
1,24,0,0
2,24,1,1
3,24,1,1
4,24,1,1
5,24,1,1
6,24,1,1
7,24,1,1
8,24,0,1
11,24,1,1
12,24,0,0
1,25,0,0
2,25,1,1
3,25,1,1
4,25,1,1
5,25,1,1
6,25,1,1
7,25,1,1
8,25,0,1
11,25,1,1
12,25,0,0
1,26,1,1
2,26,0,0
3,26,0,0
4,26,0,0
5,26,0,0
6,26,0,0
7,26,0,0
8,26,0,0
11,26,1,0
12,26,1,0
1,27,0,1
2,27,0,0
3,27,1,1
4,27,1,1
5,27,0,0
6,27,0,0
7,27,0,1
8,27,1,0
11,27,0,0
12,27,1,0
1,28,0,0
2,28,0,1
3,28,1,1
4,28,1,1
5,28,1,1
6,28,1,1
7,28,0,1
8,28,0,0
11,28,0,0
12,28,1,1
1,29,0,1
2,29,1,1
3,29,1,1
4,29,1,1
5,29,1,1
6,29,1,1
7,29,0,1
8,29,1,1
11,29,0,0
12,29,1,1
1,30,1,0
2,30,0,0
3,30,0,0
4,30,0,0
5,30,0,0
6,30,0,0
7,30,1,0
8,30,0,1
11,30,1,0
12,30,0,1
1,31,0,0
2,31,1,1
3,31,1,1
4,31,1,1
5,31,0,0
6,31,0,0
7,31,0,0
8,31,0,0
11,31,0,0
12,31,1,1
1,32,1,1
2,32,1,1
3,32,1,1
4,32,1,1
5,32,1,1
6,32,1,1
7,32,1,1
8,32,1,1
11,32,1,1
12,32,1,1
1,33,1,1
2,33,1,0
3,33,0,0
4,33,0,0
5,33,0,0
6,33,0,0
7,33,1,0
8,33,0,0
11,33,0,0
12,33,0,0
1,34,1,0
2,34,0,0
3,34,0,0
4,34,0,0
5,34,1,1
6,34,0,0
7,34,0,0
8,34,1,1
11,34,1,1
12,34,1,1
1,35,0,0
2,35,0,0
3,35,0,0
4,35,0,0
5,35,0,0
6,35,0,0
7,35,1,0
8,35,0,0
11,35,0,0
12,35,0,0
1,36,1,1
2,36,0,0
3,36,0,0
4,36,1,1
5,36,0,0
6,36,0,0
7,36,0,1
8,36,0,0
11,36,0,0
12,36,1,1
1,37,1,1
2,37,1,1
3,37,1,1
4,37,1,1
5,37,0,1
6,37,1,1
7,37,0,0
8,37,1,0
11,37,1,1
12,37,1,1
1,38,0,1
2,38,0,0
3,38,0,0
4,38,0,0
5,38,1,1
6,38,0,1
7,38,0,0
8,38,1,0
11,38,0,0
12,38,0,1
1,39,1,1
2,39,1,1
3,39,1,1
4,39,1,1
5,39,0,0
6,39,0,0
7,39,1,0
8,39,1,1
11,39,0,0
12,39,1,1
1,40,1,1
2,40,1,1
3,40,1,1
4,40,1,1
5,40,1,1
6,40,1,1
7,40,0,1
8,40,0,0
11,40,1,1
12,40,1,1
1,41,0,0
2,41,0,0
3,41,0,0
4,41,0,0
5,41,0,0
6,41,0,0
7,41,0,0
8,41,1,0
11,41,1,0
12,41,0,0
1,42,1,1
2,42,1,1
3,42,1,1
4,42,0,0
5,42,0,0
6,42,1,1
7,42,0,0
8,42,0,0
11,42,0,0
12,42,1,0
1,43,1,1
2,43,1,1
3,43,1,1
4,43,0,0
5,43,1,1
6,43,0,1
7,43,0,1
8,43,1,1
11,43,1,1
12,43,1,0
1,44,1,0
2,44,1,1
3,44,1,1
4,44,1,1
5,44,1,1
6,44,1,1
7,44,1,1
8,44,0,1
11,44,1,1
12,44,1,1
1,45,0,1
2,45,0,0
3,45,0,0
4,45,0,0
5,45,1,1
6,45,1,1
7,45,0,0
8,45,1,1
11,45,0,0
12,45,1,0
1,46,1,1
2,46,0,0
3,46,1,1
4,46,1,1
5,46,0,0
6,46,0,0
7,46,0,0
8,46,1,0
11,46,0,0
12,46,1,1
1,47,1,1
2,47,1,1
3,47,0,1
4,47,1,1
5,47,1,1
6,47,1,1
7,47,1,1
8,47,1,0
11,47,1,1
12,47,0,1
1,48,0,0
2,48,0,0
3,48,0,0
4,48,0,0
5,48,0,0
6,48,0,0
7,48,0,0
8,48,0,0
11,48,1,1
12,48,0,0
1,49,1,1
2,49,1,1
3,49,1,1
4,49,1,1
5,49,0,0
6,49,0,0
7,49,0,1
8,49,0,0
11,49,1,1
12,49,0,0
1,50,0,0
2,50,0,0
3,50,0,0
4,50,0,0
5,50,0,0
6,50,0,0
7,50,1,0
8,50,0,0
11,50,0,0
12,50,1,1
1,51,0,0
2,51,1,1
3,51,0,0
4,51,0,0
5,51,1,1
6,51,0,0
7,51,1,0
8,51,1,1
11,51,0,1
12,51,0,0
1,52,1,1
2,52,0,1
3,52,0,0
4,52,0,0
5,52,0,0
6,52,1,1
7,52,0,0
8,52,1,0
11,52,1,1
12,52,1,0
1,53,0,0
2,53,0,0
3,53,0,0
4,53,0,0
5,53,0,0
6,53,1,0
7,53,0,0
8,53,0,0
11,53,1,0
12,53,1,0
1,54,0,0
2,54,1,1
3,54,1,1
4,54,0,0
5,54,1,1
6,54,1,0
7,54,0,0
8,54,0,1
11,54,1,1
12,54,0,1
1,55,1,0
2,55,0,0
3,55,0,0
4,55,0,0
5,55,1,0
6,55,1,1
7,55,1,1
8,55,0,1
11,55,0,1
12,55,0,0
1,56,0,0
2,56,0,0
3,56,1,1
4,56,0,0
5,56,0,1
6,56,0,0
7,56,0,1
8,56,1,0
11,56,1,1
12,56,1,0
1,57,0,0
2,57,1,1
3,57,1,1
4,57,0,0
5,57,1,1
6,57,1,1
7,57,0,1
8,57,0,0
11,57,1,1
12,57,1,1
1,58,1,0
2,58,0,0
3,58,0,0
4,58,0,0
5,58,1,1
6,58,0,0
7,58,0,0
8,58,0,0
11,58,1,1
12,58,0,1
1,59,0,0
2,59,0,0
3,59,1,1
4,59,1,0
5,59,0,0
6,59,0,0
7,59,1,0
8,59,0,1
11,59,1,1
12,59,1,1
1,60,0,0
2,60,0,0
3,60,1,1
4,60,0,0
5,60,1,1
6,60,0,0
7,60,1,1
8,60,1,1
11,60,1,1
12,60,1,1
