participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.chosen_image_computer,player.chosen_image_computer_two,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice2_earnings,player.choice2_sum_earnings,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,group.id_in_subsession,group.current_round,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,djfcv4qm,59b69d4fb269ef0001801733,0,278,278,submission,Submit,2025-02-07 12:02:53.410265,1,,,0.0,1,,0.0,left,left,,,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,,,0.43,0.43,1.23,0.67,0.87,1.31,20,20,0.0,1,0,0,0,0,1,0,0,1738930279.7360785,2,1,,1,0,3125,1,1738930280784.8806,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
2,gyubbbth,672a3488a8bffdf9dac2b72f,0,278,278,submission,Submit,2025-02-07 12:03:00.844013,1,,,0.0,2,,0.0,left,left,,,2,2,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,,,0.31,0.31,1.11,1.73,1.26,0.42,-40,-40,0.0,-1,0,0,0,0,1,0,0,1738930279.5010383,2,1,,1,0,3125,1,1738930280784.8806,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
3,gunf45xl,587b7ab8c192390001d60136,0,278,278,submission,Submit,2025-02-07 12:03:08.070959,1,,,0.0,3,,0.0,right,left,,,2,2,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1A.bmp,2,,,0.49,0.49,1.2,2.34,2.34,0.99,-40,-40,0.0,-1,0,0,0,0,1,0,0,1738930279.7614644,2,1,,1,0,3125,1,1738930280784.8806,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
4,8g9qhxee,5e9b60ab511e7a0650994050,0,278,278,submission,Submit,2025-02-07 12:03:08.778434,1,,,0.0,4,,0.0,left,left,,,2,2,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,,,0.34,0.34,1.3,1.72,2.23,0.19,-40,-40,0.0,-1,0,0,0,0,1,0,0,1738930279.5729191,2,1,,1,0,3125,1,1738930280784.8806,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
5,myjr2c4x,665ad886225977530cd6579c,0,278,278,submission,Submit,2025-02-07 12:03:11.415996,1,,,0.0,1,,0.0,right,left,,,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,1,,,0.75,0.75,4.55,2.46,2.65,0.58,40,40,0.0,1,0,0,0,0,1,0,0,1738930374.7753277,3,1,,1,0,3721,1,1738930376205.267,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
6,go189rwb,5e10d9187f08ed7b5d86a277,0,37,278,main_task,WaitPage2,2025-02-07 12:03:15.858250,1,,,0.0,2,,0.0,right,left,,,3,2,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1B.bmp,2,,,0.43,0.43,2.26,0.14,4.15,2.51,-40,-40,0.0,-1,0,0,0,0,1,0,0,1738930374.335683,3,1,,1,0,3721,1,1738930376205.267,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
7,ybda36no,6687ef9bb3207f5e525c1a82,0,37,278,main_task,WaitPage2,2025-02-07 12:03:27.474693,1,,,0.0,5,,0.0,left,left,,,2,1,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,1,,,0.33,0.33,1.04,0.7,0.99,1.38,20,20,0.0,1,0,0,0,0,1,0,0,1738930279.6167872,2,1,,1,0,3125,1,1738930280784.8806,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
8,7b05a74j,64772fe9752146745277bc45,0,12,278,practice_task,WaitPage1,2025-02-07 12:03:37.734501,1,,,0.0,8,,0.0,,,,,0,0,,,0,,,,,,,,,,,,,0,0,0.0,,1,0,1,0,0,0,0,0.0,1,1,,,,0,0,,0.9,0.1,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,1,a3x1c739,,,,,0
9,0pa7dr0k,5714e0958adadb00098deed4,0,37,278,main_task,WaitPage2,2025-02-07 12:04:23.272443,1,,,0.0,3,,0.0,left,left,,,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,1,,,0.58,0.58,0.99,1.02,1.65,2.67,40,40,0.0,1,0,0,0,0,1,0,0,1738930374.5591362,3,1,,1,0,3721,1,1738930376205.267,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
10,o7fiy9x2,5ea159434ac916016387488e,0,37,278,main_task,WaitPage2,2025-02-07 12:04:39.254579,1,,,0.0,4,,0.0,right,left,,,2,2,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1A.bmp,2,,,0.43,0.43,1.76,3.28,3.1,1.2,-40,-40,0.0,-1,0,0,0,0,1,0,0,1738930374.3177714,3,1,,1,0,3721,1,1738930376205.267,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,a3x1c739,,,,,0
