participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.chosen_image_computer,player.chosen_image_computer_two,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice2_earnings,player.choice2_sum_earnings,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,group.id_in_subsession,group.current_round,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ybm0l9oz,6758c717fcad115f0bba5c71,0,12,278,practice_task,WaitPage1,2025-02-03 11:57:18.764963,1,,,0.0,1,,0.0,,,,,0,0,,,0,,,,,,,,,,,,,0,0,0.0,,1,0,1,0,0,0,0,0.0,1,1,,,,0,0,,0.9,0.1,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,1,spyhca1b,,,,,0
2,gju71kkt,66b8830e5812d8df82589ef3,0,278,278,submission,Submit,2025-02-03 11:58:51.701885,1,,,0.0,1,,0.0,left,left,,,1,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,1,,,0.34,0.34,3.6,2.49,5.18,4.46,60,60,0.0,1,0,0,0,0,1,0,0,1738584476.6562681,2,1,,1,0,3421,1,1738584478113.9524,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,spyhca1b,,,,,0
3,uq6siq7e,6274f9115634950cf5970f1c,0,278,278,submission,Submit,2025-02-03 11:59:32.179795,1,,,0.0,2,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1A.bmp,2,,,0.31,0.31,0.82,0.8,3.54,0.04,-40,-40,0.0,-1,0,0,0,0,1,0,0,1738584476.6310086,2,1,,1,0,3421,1,1738584478113.9524,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,spyhca1b,,,,,0
4,vlocm0pi,5f305c9cf7fabe4adaf0de5d,0,278,278,submission,Submit,2025-02-03 12:00:01.209517,1,,,0.0,3,,0.0,right,left,,,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,1,,,0.42,0.42,0.79,1.98,2.83,3.07,40,40,0.0,1,0,0,0,0,1,0,0,1738584476.898931,2,1,,1,0,3421,1,1738584478113.9524,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,spyhca1b,,,,,0
5,ihqgbl5n,5dd9a7ff98981d926df9ea18,0,278,278,submission,Submit,2025-02-03 12:00:09.934205,1,,,0.0,4,,0.0,,,left,right,3,1,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1B.bmp,2,option1A_tr.bmp,option1B_tr.bmp,0.4,0.4,6.0,2.19,,1.32,-20,-20,0.0,-1,1,0,1,0,0,0,0,1738584470.285967,2,1,,1,0,3421,1,1738584478113.9524,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,spyhca1b,,,,,0
6,lk7z2cqx,63654bbd9fba7764c698ee95,0,43,278,main_task,MyPage,2025-02-03 12:00:12.551287,1,,,0.0,5,,0.0,left,,,left,3,3,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,,option1B_tr.bmp,0.28,0.28,1.2,1.35,,1.96,-60,-60,0.0,-1,0,0,1,0,0,0,0,1738584476.5209186,2,1,,1,0,3421,1,1738584478113.9524,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,spyhca1b,,,,,0
7,ftshhftn,645d03acd1302079adbc39f9,0,278,278,submission,Submit,2025-02-03 12:00:14.325516,1,,,0.0,1,,0.0,right,left,,,1,1,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,1,,,0.24,0.24,2.4,1.72,1.71,0.55,20,20,0.0,1,0,0,0,0,1,0,0,1738584732.9007688,3,1,,1,0,3595,1,1738584734665.3015,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,spyhca1b,,,,,0
8,48r4j4sd,66b239b6a6912115ce1d9683,0,278,278,submission,Submit,2025-02-03 12:00:14.745719,1,,,0.0,2,,0.0,right,left,,,3,2,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1A.bmp,2,,,1.2,1.2,1.16,1.55,1.73,0.94,-40,-40,0.0,-1,0,0,0,0,1,0,0,1738584734.0172372,3,1,,1,0,3595,1,1738584734665.3015,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,spyhca1b,,,,,0
9,0lqin6y8,5f953584d654c638ae82c4b2,0,10,278,instructions,FixDimensions,2025-02-03 12:00:15.950038,1,,,0.0,9,,0.0,,,,,0,0,,,0,,,,,,,,,,,,,0,0,0.0,,1,0,1,0,0,0,0,0.0,1,1,,,,0,0,,0.9,0.1,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,1,spyhca1b,,,,,0
10,5rwam8pd,676edbd71b2d6c518eae7b45,0,278,278,submission,Submit,2025-02-03 12:00:16.024390,1,,,0.0,3,,0.0,right,left,,,1,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,1,,,0.35,0.35,1.14,0.62,1.95,1.14,60,60,0.0,1,0,0,0,0,1,0,0,1738584733.0650814,3,1,,1,0,3595,1,1738584734665.3015,0.9,0.1,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,1,spyhca1b,,,,,0
