participant.label,trial,id_in_group,choice1,choice2,computer_choice1,computer_choice2,bet1,bet2,chosen_image_computer,chosen_image_computer_two,my_page_load_time,initial_choice_time,initial_bet_time,second_choice_time,second_bet_time,computer_choice_one,computer_bet_one,computer_choice_two,computer_bet_two
5bcedec641f0710001c74dd5,1,3,left,NA,NA,left,3,1,NA,option1A_tr.bmp,0.3,1.02,3,3,3,0,1,1,1
5bcedec641f0710001c74dd5,2,3,NA,NA,right,right,3,2,option1B_tr.bmp,option1B_tr.bmp,0.61,3,3,3,3,1,1,1,1
5bcedec641f0710001c74dd5,3,3,left,NA,NA,NA,2,1,NA,NA,1,0.59,1.69,NA,1.27,0,0,1,0
5bcedec641f0710001c74dd5,4,3,left,NA,left,NA,1,3,option1A_tr.bmp,NA,NA,3,3,NA,3,1,1,1,1
5bcedec641f0710001c74dd5,5,3,left,NA,left,NA,2,2,option1A_tr.bmp,NA,NA,3,3,NA,3,1,1,1,1
5bcedec641f0710001c74dd5,6,3,right,NA,right,NA,2,2,option1B_tr.bmp,NA,NA,3,3,NA,3,1,1,1,1
5bcedec641f0710001c74dd5,7,3,left,NA,left,NA,2,1,option1A_tr.bmp,NA,NA,3,3,NA,3,1,1,1,1
5bcedec641f0710001c74dd5,8,3,right,NA,right,NA,3,2,option1B_tr.bmp,NA,NA,3,3,NA,3,1,1,1,1
5bcedec641f0710001c74dd5,9,3,right,right,right,right,2,1,option1B_tr.bmp,option1B_tr.bmp,NA,3,3,3,3,1,1,1,1
5bcedec641f0710001c74dd5,10,3,right,NA,right,NA,3,3,option1B_tr.bmp,NA,NA,3,3,NA,3,1,1,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5dd9a7ff98981d926df9ea18,1,1,NA,left,right,NA,2,1,option1A_tr.bmp,NA,0.65,3,1.25,2.42,0.49,1,0,0,0
5dd9a7ff98981d926df9ea18,2,1,left,left,NA,NA,2,2,NA,NA,0.71,2.13,1.35,0.9,1.13,0,0,0,0
5dd9a7ff98981d926df9ea18,3,1,left,left,NA,NA,2,2,NA,NA,0.77,0.73,0.65,0.42,0.29,0,0,0,0
5dd9a7ff98981d926df9ea18,4,1,left,left,NA,NA,1,1,NA,NA,0.8,0.54,0.46,1.17,0.31,0,0,0,0
5dd9a7ff98981d926df9ea18,5,1,left,left,NA,NA,2,2,NA,NA,0.93,2.89,1.56,0.7,0.35,0,0,0,0
5dd9a7ff98981d926df9ea18,6,1,left,left,NA,NA,2,1,NA,NA,0.85,1.48,1.41,0.38,0.39,0,0,0,0
5dd9a7ff98981d926df9ea18,7,1,right,right,NA,NA,2,3,NA,NA,0.6,2.48,0.66,1.42,0.6,0,0,0,0
5dd9a7ff98981d926df9ea18,8,1,right,right,NA,NA,2,3,NA,NA,0.72,1.19,0.9,1.04,0.27,0,0,0,0
5dd9a7ff98981d926df9ea18,9,1,right,right,NA,NA,2,1,NA,NA,1.06,1.01,1.49,0.89,0.32,0,0,0,0
5dd9a7ff98981d926df9ea18,10,1,left,left,NA,NA,3,3,NA,NA,0.89,0.89,0.99,0.48,0.33,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
63654bbd9fba7764c698ee95,1,5,left,left,NA,NA,2,3,NA,NA,0.35,1.83,1.07,2.4,1.57,0,0,0,0
63654bbd9fba7764c698ee95,2,5,left,NA,NA,NA,3,1,NA,NA,0.27,2.28,1.35,NA,3,0,0,1,1
63654bbd9fba7764c698ee95,3,5,left,NA,left,NA,1,1,option1A_tr.bmp,NA,NA,3,3,NA,3,1,1,1,1
63654bbd9fba7764c698ee95,4,5,right,NA,right,NA,1,2,option1B_tr.bmp,NA,NA,3,3,NA,3,1,1,1,1
