session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
d6lvy1ol,1,zcf1egr7,0,,InitializeParticipant,1738756245,1,0,0
d6lvy1ol,1,zcf1egr7,1,instructions,Welcome,1738756262,1,0,0
d6lvy1ol,1,zcf1egr7,2,instructions,Consent,1738756268,1,0,0
d6lvy1ol,1,zcf1egr7,3,instructions,TaskOverview,1738756299,1,0,0
d6lvy1ol,1,zcf1egr7,4,instructions,TaskInstructionsPage1,1738756415,1,0,0
d6lvy1ol,1,zcf1egr7,5,instructions,TaskInstructionsPage2,1738756504,1,0,0
d6lvy1ol,1,zcf1egr7,6,instructions,RewardStructure,1738756551,1,0,0
d6lvy1ol,1,zcf1egr7,7,instructions,Leaving,1738756568,1,0,0
d6lvy1ol,1,zcf1egr7,8,instructions,Comprehension,1738756666,1,0,0
d6lvy1ol,1,zcf1egr7,9,instructions,AdjustDimensions,1738756680,1,0,0
d6lvy1ol,1,zcf1egr7,10,instructions,FixDimensions,1738756707,1,0,0
d6lvy1ol,1,zcf1egr7,11,instructions,PracticeInstructions,1738756716,1,0,0
d6lvy1ol,2,0r57elef,0,,InitializeParticipant,1738756792,1,0,0
d6lvy1ol,2,0r57elef,1,instructions,Welcome,1738756800,1,0,0
d6lvy1ol,3,uro33w1j,0,,InitializeParticipant,1738756804,1,0,0
d6lvy1ol,2,0r57elef,2,instructions,Consent,1738756806,1,0,0
d6lvy1ol,4,v5uzjzeq,0,,InitializeParticipant,1738756808,1,0,0
d6lvy1ol,5,r0epnh5n,0,,InitializeParticipant,1738756812,1,0,0
d6lvy1ol,3,uro33w1j,1,instructions,Welcome,1738756817,1,0,0
d6lvy1ol,3,uro33w1j,2,instructions,Consent,1738756819,1,0,0
d6lvy1ol,6,c8le880w,0,,InitializeParticipant,1738756821,1,0,0
d6lvy1ol,7,fe87ewee,0,,InitializeParticipant,1738756822,1,0,0
d6lvy1ol,8,vmj6j5sf,0,,InitializeParticipant,1738756826,1,0,0
d6lvy1ol,7,fe87ewee,1,instructions,Welcome,1738756835,1,0,0
d6lvy1ol,5,r0epnh5n,1,instructions,Welcome,1738756836,1,0,0
d6lvy1ol,4,v5uzjzeq,1,instructions,Welcome,1738756838,1,0,0
d6lvy1ol,6,c8le880w,1,instructions,Welcome,1738756838,1,0,0
d6lvy1ol,9,ljjdyf5m,0,,InitializeParticipant,1738756838,1,0,0
d6lvy1ol,5,r0epnh5n,2,instructions,Consent,1738756840,1,0,0
d6lvy1ol,10,rdw7kh1f,0,,InitializeParticipant,1738756840,1,0,0
d6lvy1ol,11,ilvocnr8,0,,InitializeParticipant,1738756841,1,0,0
d6lvy1ol,2,0r57elef,3,instructions,TaskOverview,1738756841,1,0,0
d6lvy1ol,4,v5uzjzeq,2,instructions,Consent,1738756842,1,0,0
d6lvy1ol,6,c8le880w,2,instructions,Consent,1738756842,1,0,0
d6lvy1ol,7,fe87ewee,2,instructions,Consent,1738756842,1,0,0
d6lvy1ol,8,vmj6j5sf,1,instructions,Welcome,1738756843,1,0,0
d6lvy1ol,8,vmj6j5sf,2,instructions,Consent,1738756848,1,0,0
d6lvy1ol,3,uro33w1j,3,instructions,TaskOverview,1738756848,1,0,0
d6lvy1ol,9,ljjdyf5m,1,instructions,Welcome,1738756849,1,0,0
d6lvy1ol,12,sla165sp,0,,InitializeParticipant,1738756850,1,0,0
d6lvy1ol,9,ljjdyf5m,2,instructions,Consent,1738756855,1,0,0
d6lvy1ol,6,c8le880w,3,instructions,TaskOverview,1738756858,1,0,0
d6lvy1ol,11,ilvocnr8,1,instructions,Welcome,1738756858,1,0,0
d6lvy1ol,4,v5uzjzeq,3,instructions,TaskOverview,1738756859,1,0,0
d6lvy1ol,12,sla165sp,1,instructions,Welcome,1738756860,1,0,0
d6lvy1ol,12,sla165sp,2,instructions,Consent,1738756862,1,0,0
d6lvy1ol,11,ilvocnr8,2,instructions,Consent,1738756862,1,0,0
d6lvy1ol,7,fe87ewee,3,instructions,TaskOverview,1738756863,1,0,0
d6lvy1ol,13,sy2jizw1,0,,InitializeParticipant,1738756865,1,0,0
d6lvy1ol,5,r0epnh5n,3,instructions,TaskOverview,1738756866,1,0,0
d6lvy1ol,10,rdw7kh1f,1,instructions,Welcome,1738756869,1,0,0
d6lvy1ol,12,sla165sp,3,instructions,TaskOverview,1738756879,1,0,0
d6lvy1ol,10,rdw7kh1f,2,instructions,Consent,1738756879,1,0,0
d6lvy1ol,8,vmj6j5sf,3,instructions,TaskOverview,1738756880,1,0,0
d6lvy1ol,13,sy2jizw1,1,instructions,Welcome,1738756884,1,0,0
d6lvy1ol,9,ljjdyf5m,3,instructions,TaskOverview,1738756888,1,0,0
d6lvy1ol,13,sy2jizw1,2,instructions,Consent,1738756891,1,0,0
d6lvy1ol,2,0r57elef,4,instructions,TaskInstructionsPage1,1738756895,1,0,0
d6lvy1ol,11,ilvocnr8,3,instructions,TaskOverview,1738756899,1,0,0
