session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
a3x1c739,1,djfcv4qm,0,,InitializeParticipant,1738929773,1,0,0
a3x1c739,2,gyubbbth,0,,InitializeParticipant,1738929780,1,0,0
a3x1c739,1,djfcv4qm,1,instructions,Welcome,1738929786,1,0,0
a3x1c739,1,djfcv4qm,2,instructions,Consent,1738929787,1,0,0
a3x1c739,3,gunf45xl,0,,InitializeParticipant,1738929788,1,0,0
a3x1c739,4,8g9qhxee,0,,InitializeParticipant,1738929788,1,0,0
a3x1c739,5,myjr2c4x,0,,InitializeParticipant,1738929791,1,0,0
a3x1c739,4,8g9qhxee,1,instructions,Welcome,1738929791,1,0,0
a3x1c739,2,gyubbbth,1,instructions,Welcome,1738929792,1,0,0
a3x1c739,4,8g9qhxee,2,instructions,Consent,1738929793,1,0,0
a3x1c739,6,go189rwb,0,,InitializeParticipant,1738929795,1,0,0
a3x1c739,2,gyubbbth,2,instructions,Consent,1738929797,1,0,0
a3x1c739,1,djfcv4qm,3,instructions,TaskOverview,1738929800,1,0,0
a3x1c739,6,go189rwb,1,instructions,Welcome,1738929805,1,0,0
a3x1c739,7,ybda36no,0,,InitializeParticipant,1738929807,1,0,0
a3x1c739,6,go189rwb,2,instructions,Consent,1738929809,1,0,0
a3x1c739,2,gyubbbth,3,instructions,TaskOverview,1738929812,1,0,0
a3x1c739,3,gunf45xl,1,instructions,Welcome,1738929814,1,0,0
a3x1c739,8,7b05a74j,0,,InitializeParticipant,1738929817,1,0,0
a3x1c739,3,gunf45xl,2,instructions,Consent,1738929823,1,0,0
a3x1c739,5,myjr2c4x,1,instructions,Welcome,1738929824,1,0,0
a3x1c739,4,8g9qhxee,3,instructions,TaskOverview,1738929825,1,0,0
a3x1c739,5,myjr2c4x,2,instructions,Consent,1738929829,1,0,0
a3x1c739,1,djfcv4qm,4,instructions,TaskInstructionsPage1,1738929841,1,0,0
a3x1c739,8,7b05a74j,1,instructions,Welcome,1738929848,1,0,0
a3x1c739,3,gunf45xl,3,instructions,TaskOverview,1738929849,1,0,0
a3x1c739,6,go189rwb,3,instructions,TaskOverview,1738929854,1,0,0
a3x1c739,8,7b05a74j,2,instructions,Consent,1738929855,1,0,0
a3x1c739,9,0pa7dr0k,0,,InitializeParticipant,1738929863,1,0,0
a3x1c739,5,myjr2c4x,3,instructions,TaskOverview,1738929864,1,0,0
a3x1c739,2,gyubbbth,4,instructions,TaskInstructionsPage1,1738929866,1,0,0
a3x1c739,9,0pa7dr0k,1,instructions,Welcome,1738929870,1,0,0
a3x1c739,9,0pa7dr0k,2,instructions,Consent,1738929877,1,0,0
a3x1c739,10,o7fiy9x2,0,,InitializeParticipant,1738929879,1,0,0
a3x1c739,10,o7fiy9x2,1,instructions,Welcome,1738929886,1,0,0
a3x1c739,8,7b05a74j,3,instructions,TaskOverview,1738929889,1,0,0
a3x1c739,4,8g9qhxee,4,instructions,TaskInstructionsPage1,1738929890,1,0,0
a3x1c739,10,o7fiy9x2,2,instructions,Consent,1738929890,1,0,0
a3x1c739,1,djfcv4qm,5,instructions,TaskInstructionsPage2,1738929895,1,0,0
a3x1c739,9,0pa7dr0k,3,instructions,TaskOverview,1738929908,1,0,0
a3x1c739,1,djfcv4qm,6,instructions,RewardStructure,1738929912,1,0,0
a3x1c739,10,o7fiy9x2,3,instructions,TaskOverview,1738929915,1,0,0
a3x1c739,1,djfcv4qm,7,instructions,Leaving,1738929916,1,0,0
a3x1c739,3,gunf45xl,4,instructions,TaskInstructionsPage1,1738929925,1,0,0
a3x1c739,6,go189rwb,4,instructions,TaskInstructionsPage1,1738929929,1,0,0
a3x1c739,11,xpajo5aj,0,,InitializeParticipant,1738929950,1,0,0
a3x1c739,5,myjr2c4x,4,instructions,TaskInstructionsPage1,1738929958,1,0,0
a3x1c739,7,ybda36no,1,instructions,Welcome,1738929961,1,0,0
a3x1c739,7,ybda36no,2,instructions,Consent,1738929964,1,0,0
a3x1c739,2,gyubbbth,5,instructions,TaskInstructionsPage2,1738929966,1,0,0
a3x1c739,7,ybda36no,3,instructions,TaskOverview,1738929975,1,0,0
a3x1c739,8,7b05a74j,4,instructions,TaskInstructionsPage1,1738929978,1,0,0
a3x1c739,4,8g9qhxee,5,instructions,TaskInstructionsPage2,1738929980,1,0,0
a3x1c739,11,xpajo5aj,1,instructions,Welcome,1738929981,1,0,0
a3x1c739,1,djfcv4qm,8,instructions,Comprehension,1738929982,1,0,0
a3x1c739,10,o7fiy9x2,4,instructions,TaskInstructionsPage1,1738929982,1,0,0
a3x1c739,9,0pa7dr0k,4,instructions,TaskInstructionsPage1,1738929983,1,0,0
a3x1c739,11,xpajo5aj,2,instructions,Consent,1738929984,1,0,0
a3x1c739,3,gunf45xl,5,instructions,TaskInstructionsPage2,1738929986,1,0,0
a3x1c739,1,djfcv4qm,9,instructions,AdjustDimensions,1738929987,1,0,0
a3x1c739,1,djfcv4qm,10,instructions,FixDimensions,1738929992,1,0,0
a3x1c739,1,djfcv4qm,11,instructions,PracticeInstructions,1738930000,1,0,0
a3x1c739,11,xpajo5aj,3,instructions,TaskOverview,1738930001,1,0,0
a3x1c739,6,go189rwb,5,instructions,TaskInstructionsPage2,1738930013,1,0,0
a3x1c739,7,ybda36no,4,instructions,TaskInstructionsPage1,1738930020,1,0,0
a3x1c739,3,gunf45xl,6,instructions,RewardStructure,1738930023,1,0,0
a3x1c739,7,ybda36no,5,instructions,TaskInstructionsPage2,1738930030,1,0,0
a3x1c739,7,ybda36no,6,instructions,RewardStructure,1738930032,1,0,0
a3x1c739,3,gunf45xl,7,instructions,Leaving,1738930034,1,0,0
a3x1c739,7,ybda36no,7,instructions,Leaving,1738930035,1,0,0
a3x1c739,9,0pa7dr0k,5,instructions,TaskInstructionsPage2,1738930039,1,0,0
a3x1c739,4,8g9qhxee,6,instructions,RewardStructure,1738930040,1,0,0
a3x1c739,4,8g9qhxee,7,instructions,Leaving,1738930048,1,0,0
a3x1c739,2,gyubbbth,6,instructions,RewardStructure,1738930055,1,0,0
a3x1c739,10,o7fiy9x2,5,instructions,TaskInstructionsPage2,1738930061,1,0,0
a3x1c739,11,xpajo5aj,4,instructions,TaskInstructionsPage1,1738930068,1,0,0
a3x1c739,2,gyubbbth,7,instructions,Leaving,1738930074,1,0,0
a3x1c739,8,7b05a74j,5,instructions,TaskInstructionsPage2,1738930076,1,0,0
a3x1c739,6,go189rwb,6,instructions,RewardStructure,1738930077,1,0,0
