participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.chosen_image_computer,player.chosen_image_computer_two,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice2_earnings,player.choice2_sum_earnings,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,group.id_in_subsession,group.current_round,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7ef9csi9,66f4147ffea1a6689de3a7ac,0,143,294,main_task,MyPage,2025-02-20 11:59:05.139128,1,,,0.0,1,,0.0,right,left,,,2,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,,,0.59,0.59,0.62,1.06,2.9,0.45,40,40,0.0,1,0,0,0,0,1,0,0,1740053391.2810092,4,1,,1,0,3402,1,1740053392169.3188,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,7qmz5nfz,,,,,0
2,yoaovgqb,5f0f6811a0ed4a11dbc57b79,0,294,294,submission,Submit,2025-02-20 11:59:15.217023,1,,,0.0,1,,0.0,right,left,,,2,1,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1B.bmp,2,,,0.53,0.53,0.75,1.21,0.77,3.05,-20,-20,0.0,-1,0,0,0,0,1,0,0,1740053246.2667632,2,1,,1,0,3827,1,1740053248117.573,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,7qmz5nfz,,,,,0
3,n81b3sel,5e459f61418f610891628564,0,4,294,instructions,TaskInstructionsPage1,2025-02-20 11:59:25.500072,1,,,0.0,3,,0.0,,,,,0,0,,,0,,,,,,,,,,,,,0,0,0.0,,1,0,1,0,0,0,0,0.0,1,1,,,,0,0,,0.9,0.1,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,1,7qmz5nfz,,,,,0
4,t2y686x0,5b8bf5dd7b334200011da4aa,0,294,294,submission,Submit,2025-02-20 12:00:03.622331,1,,,0.0,1,,0.0,left,left,,,1,1,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,,,1.37,1.37,0.43,0.55,1.13,0.32,-20,-20,0.0,-1,0,0,0,0,1,0,0,1740053295.1145432,3,1,,1,0,3038,1,1740053304156.2,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,7qmz5nfz,,,,,0
5,sgtdejfl,5797564b70c76a0001245734,0,294,294,submission,Submit,2025-02-20 12:00:07.118265,1,,,0.0,1,,0.0,left,left,,,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,,,0.92,0.92,1.05,0.59,1.15,0.61,20,20,0.0,1,0,0,0,0,1,0,0,1740053587.9541187,5,1,,1,0,3266,1,1740053589789.7297,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,7qmz5nfz,,,,,0
6,g1cr713u,5ea00a8a39c0f00008064b2b,0,294,294,submission,Submit,2025-02-20 12:00:08.988551,1,,,0.0,2,,0.0,,,right,left,2,3,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1B.bmp,2,option1A_tr.bmp,option1B_tr.bmp,1.54,1.54,6.0,1.72,,2.68,-60,-60,0.0,-1,1,0,1,0,0,0,0,1740053588.7058568,5,1,,1,0,3266,1,1740053589789.7297,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,7qmz5nfz,,,,,0
7,ypgfxi2w,600606925db9c892b3939202,0,294,294,submission,Submit,2025-02-20 12:00:09.160971,1,,,0.0,2,,0.0,left,left,,,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,1,,,1.01,1.01,1.02,1.12,2.93,0.68,40,40,0.0,1,0,0,0,0,1,0,0,1740053382.6304421,4,1,,1,0,3402,1,1740053392169.3188,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,7qmz5nfz,,,,,0
8,a93ezojp,610a879e6500d1d653b3da54,0,12,294,practice_task,WaitPage1,2025-02-20 12:00:09.186762,1,,,0.0,8,,0.0,,,,,0,0,,,0,,,,,,,,,,,,,0,0,0.0,,1,0,1,0,0,0,0,0.0,1,1,,,,0,0,,0.9,0.1,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,1,7qmz5nfz,,,,,0
9,70z8cq6z,676998e4f6daae6e1a643595,0,294,294,submission,Submit,2025-02-20 12:00:09.356056,1,,,0.0,3,,0.0,left,left,,,2,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,,,1.07,1.07,1.1,1.73,3.23,1.87,60,60,0.0,1,0,0,0,0,1,0,0,1740053587.9173622,5,1,,1,0,3266,1,1740053589789.7297,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,7qmz5nfz,,,,,0
10,bgrafq8e,59b5a275c05bb50001eb3c4b,0,294,294,submission,Submit,2025-02-20 12:00:10.973484,1,,,0.0,2,,0.0,left,left,,,2,1,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1A.bmp,2,,,0.71,0.71,1.67,0.69,1.97,1.11,-20,-20,0.0,-1,0,0,0,0,1,0,0,1740053246.4186823,2,1,,1,0,3827,1,1740053248117.573,0.9,0.1,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,1,7qmz5nfz,,,,,0
