session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
d51cjua4,1,7p9rk9ro,0,,InitializeParticipant,1740139215,1,0,0
d51cjua4,1,7p9rk9ro,1,instructions,Welcome,1740139226,1,0,0
d51cjua4,1,7p9rk9ro,2,instructions,Consent,1740139228,1,0,0
d51cjua4,1,7p9rk9ro,3,instructions,TaskOverview,1740139236,1,0,0
d51cjua4,1,7p9rk9ro,4,instructions,TaskInstructionsPage1,1740139262,1,0,0
d51cjua4,1,7p9rk9ro,5,instructions,TaskInstructionsPage2,1740139273,1,0,0
d51cjua4,1,7p9rk9ro,6,instructions,RewardStructure,1740139277,1,0,0
d51cjua4,1,7p9rk9ro,7,instructions,Leaving,1740139285,1,0,0
d51cjua4,1,7p9rk9ro,8,instructions,Comprehension,1740139361,1,0,0
d51cjua4,1,7p9rk9ro,9,instructions,AdjustDimensions,1740139367,1,0,0
d51cjua4,1,7p9rk9ro,10,instructions,FixDimensions,1740139372,1,0,0
d51cjua4,1,7p9rk9ro,11,instructions,PracticeInstructions,1740139378,1,0,0
d51cjua4,1,7p9rk9ro,12,practice_task,GroupingWaitPage,1740139379,1,0,1
d51cjua4,1,7p9rk9ro,13,practice_task,TransitionToPracticeTask,1740139394,1,0,0
d51cjua4,2,3a8y64ct,0,,InitializeParticipant,1740139400,1,0,0
d51cjua4,2,3a8y64ct,1,instructions,Welcome,1740139406,1,0,0
d51cjua4,2,3a8y64ct,2,instructions,Consent,1740139408,1,0,0
d51cjua4,1,7p9rk9ro,14,practice_task,MyPage,1740139426,1,0,0
d51cjua4,1,7p9rk9ro,17,practice_task,GroupingWaitPage,1740139426,2,0,1
d51cjua4,2,3a8y64ct,3,instructions,TaskOverview,1740139427,1,0,0
d51cjua4,3,bdghzdy1,0,,InitializeParticipant,1740139447,1,0,0
d51cjua4,3,bdghzdy1,1,instructions,Welcome,1740139451,1,0,0
d51cjua4,3,bdghzdy1,2,instructions,Consent,1740139454,1,0,0
d51cjua4,1,7p9rk9ro,19,practice_task,MyPage,1740139458,2,0,0
d51cjua4,1,7p9rk9ro,22,practice_task,GroupingWaitPage,1740139459,3,0,1
d51cjua4,3,bdghzdy1,3,instructions,TaskOverview,1740139480,1,0,0
d51cjua4,1,7p9rk9ro,24,practice_task,MyPage,1740139491,3,0,0
d51cjua4,1,7p9rk9ro,27,practice_task,GroupingWaitPage,1740139491,4,0,1
d51cjua4,2,3a8y64ct,4,instructions,TaskInstructionsPage1,1740139494,1,0,0
d51cjua4,1,7p9rk9ro,29,practice_task,MyPage,1740139523,4,0,0
d51cjua4,1,7p9rk9ro,32,practice_task,GroupingWaitPage,1740139523,5,0,1
d51cjua4,3,bdghzdy1,4,instructions,TaskInstructionsPage1,1740139536,1,0,0
d51cjua4,2,3a8y64ct,5,instructions,TaskInstructionsPage2,1740139538,1,0,0
d51cjua4,1,7p9rk9ro,34,practice_task,MyPage,1740139555,5,0,0
d51cjua4,1,7p9rk9ro,35,practice_task,FinalResults,1740139564,5,0,0
d51cjua4,1,7p9rk9ro,36,practice_task,MainTaskInstructions,1740139571,5,0,0
d51cjua4,3,bdghzdy1,5,instructions,TaskInstructionsPage2,1740139580,1,0,0
d51cjua4,3,bdghzdy1,6,instructions,RewardStructure,1740139602,1,0,0
d51cjua4,3,bdghzdy1,7,instructions,Leaving,1740139607,1,0,0
d51cjua4,2,3a8y64ct,6,instructions,RewardStructure,1740139609,1,0,0
d51cjua4,2,3a8y64ct,7,instructions,Leaving,1740139622,1,0,0
d51cjua4,3,bdghzdy1,8,instructions,Comprehension,1740139682,1,0,0
d51cjua4,3,bdghzdy1,9,instructions,AdjustDimensions,1740139697,1,0,0
d51cjua4,3,bdghzdy1,10,instructions,FixDimensions,1740139708,1,0,0
d51cjua4,3,bdghzdy1,11,instructions,PracticeInstructions,1740139716,1,0,0
d51cjua4,3,bdghzdy1,12,practice_task,GroupingWaitPage,1740139717,1,0,1
