participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.prolific_id,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7p9rk9ro,6765867bd50d390b8e7852db,0,37,294,main_task,WaitPage2,2025-02-21 12:00:15.134699,1,,,0.0,1,,0.0,6765867bd50d390b8e7852db,1,1,d51cjua4,,,,,0
2,3a8y64ct,5a75b131eea3d300016ddc70,0,294,294,submission,Submit,2025-02-21 12:03:20.433564,1,,,0.0,2,,0.0,5a75b131eea3d300016ddc70,1,1,d51cjua4,,,,,0
3,bdghzdy1,659d6e087606f95235236d8e,0,294,294,submission,Submit,2025-02-21 12:04:07.756105,1,,,0.0,3,,0.0,659d6e087606f95235236d8e,1,1,d51cjua4,,,,,0
4,i56u6du9,63174af7d57182f9bf90c094,0,294,294,submission,Submit,2025-02-21 12:10:20.378272,1,,,0.0,4,,0.0,63174af7d57182f9bf90c094,1,1,d51cjua4,,,,,0
5,hhtq9cwd,672df806e7c2f55e8e2bf477,0,294,294,submission,Submit,2025-02-21 12:10:36.692843,1,,,0.0,5,,0.0,672df806e7c2f55e8e2bf477,1,1,d51cjua4,,,,,0
6,y2u27vj8,6730f2e20f5915ff4ad2c07d,0,294,294,submission,Submit,2025-02-21 12:10:47.105284,1,,,0.0,6,,0.0,6730f2e20f5915ff4ad2c07d,1,1,d51cjua4,,,,,0
7,wgoj2wn5,63d53d53a7a7b0379ba289cf,0,294,294,submission,Submit,2025-02-21 12:10:50.867631,1,,,0.0,7,,0.0,63d53d53a7a7b0379ba289cf,1,1,d51cjua4,,,,,0
8,l282lpix,6266a4e5846e1e41812a0432,0,294,294,submission,Submit,2025-02-21 12:10:58.944942,1,,,0.0,8,,0.0,6266a4e5846e1e41812a0432,1,1,d51cjua4,,,,,0
9,d2w26gok,676d70fb609bf3532889f9f8,0,294,294,submission,Submit,2025-02-21 12:11:08.273769,1,,,0.0,9,,0.0,676d70fb609bf3532889f9f8,1,1,d51cjua4,,,,,0
10,x412kuv3,5cf765f7b026f40001fe1bc6,0,294,294,submission,Submit,2025-02-21 12:11:09.992659,1,,,0.0,10,,0.0,5cf765f7b026f40001fe1bc6,1,1,d51cjua4,,,,,0
11,klze9pxb,60886f033e4f5c214da0c898,0,294,294,submission,Submit,2025-02-21 12:11:11.784915,1,,,0.0,11,,0.0,60886f033e4f5c214da0c898,1,1,d51cjua4,,,,,0
12,jtdw5vuq,660a6b953836d16312814993,0,294,294,submission,Submit,2025-02-21 12:11:13.107261,1,,,0.0,12,,0.0,660a6b953836d16312814993,1,1,d51cjua4,,,,,0
13,x094onuq,676578b520552faa04a8ef83,0,294,294,submission,Submit,2025-02-21 12:11:25.718658,1,,,0.0,13,,0.0,676578b520552faa04a8ef83,1,1,d51cjua4,,,,,0
14,bb8p248w,665971fc694c72b87647f8c9,0,294,294,submission,Submit,2025-02-21 12:11:28.500423,1,,,0.0,14,,0.0,665971fc694c72b87647f8c9,1,1,d51cjua4,,,,,0
15,9mcx4bte,63d3f953f8fb0fe970f0d0c6,0,294,294,submission,Submit,2025-02-21 12:11:29.186309,1,,,0.0,15,,0.0,63d3f953f8fb0fe970f0d0c6,1,1,d51cjua4,,,,,0
16,aandwczj,6015966a246e51095f2235e7,0,294,294,submission,Submit,2025-02-21 12:11:34.160944,1,,,0.0,16,,0.0,6015966a246e51095f2235e7,1,1,d51cjua4,,,,,0
17,pq9n7ai7,58713c5e58ca4c00018ce3ea,0,294,294,submission,Submit,2025-02-21 12:11:35.256949,1,,,0.0,17,,0.0,58713c5e58ca4c00018ce3ea,1,1,d51cjua4,,,,,0
18,q7lj79qi,5c5c8b70758f310001ed429a,0,294,294,submission,Submit,2025-02-21 12:11:37.848309,1,,,0.0,18,,0.0,5c5c8b70758f310001ed429a,1,1,d51cjua4,,,,,0
19,98cq6unx,671ce69ff883fe3c3ae81cdf,0,294,294,submission,Submit,2025-02-21 12:11:44.189259,1,,,0.0,19,,0.0,671ce69ff883fe3c3ae81cdf,1,1,d51cjua4,,,,,0
20,r3f2mvc5,66a41543adadffb17baf40b8,0,294,294,submission,Submit,2025-02-21 12:11:45.215968,1,,,0.0,20,,0.0,66a41543adadffb17baf40b8,1,1,d51cjua4,,,,,0
21,35f0gfq5,5ee637a18976fc391312fe01,0,294,294,submission,Submit,2025-02-21 12:11:45.780790,1,,,0.0,21,,0.0,5ee637a18976fc391312fe01,1,1,d51cjua4,,,,,0
22,ro6rix2b,677c2fc7d34ead450c40271e,0,294,294,submission,Submit,2025-02-21 12:11:47.370855,1,,,0.0,22,,0.0,677c2fc7d34ead450c40271e,1,1,d51cjua4,,,,,0
23,2kt26ijo,665c471006663c8ee2cd13a6,0,294,294,submission,Submit,2025-02-21 12:11:47.469104,1,,,0.0,23,,0.0,665c471006663c8ee2cd13a6,1,1,d51cjua4,,,,,0
24,97w7u5oo,662e3e72d494903379b6956a,0,294,294,submission,Submit,2025-02-21 12:12:04.015957,1,,,0.0,24,,0.0,662e3e72d494903379b6956a,1,1,d51cjua4,,,,,0
25,sdt13al3,6169ea2f9163a46bf5f356e2,0,294,294,submission,Submit,2025-02-21 12:12:10.575328,1,,,0.0,25,,0.0,6169ea2f9163a46bf5f356e2,1,1,d51cjua4,,,,,0
26,ed2rr9g2,666aee590ad93e0d709d8a72,0,294,294,submission,Submit,2025-02-21 12:12:11.356599,1,,,0.0,26,,0.0,666aee590ad93e0d709d8a72,1,1,d51cjua4,,,,,0
27,sdjzeasz,66d890366a2497885067a8f8,0,294,294,submission,Submit,2025-02-21 12:12:12.292959,1,,,0.0,27,,0.0,66d890366a2497885067a8f8,1,1,d51cjua4,,,,,0
28,9cn1einn,138EOT731Ey09Z9L596n5O67,0,1,294,instructions,Welcome,2025-02-21 12:12:15.915864,1,,,0.0,28,,0.0,,1,1,d51cjua4,,,,,0
29,927atwur,62ac71cec3309a48781684eb,0,294,294,submission,Submit,2025-02-21 12:12:20.551865,1,,,0.0,29,,0.0,62ac71cec3309a48781684eb,1,1,d51cjua4,,,,,0
30,14hvzoea,676582ce8948af9588e17a04,0,294,294,submission,Submit,2025-02-21 12:12:27.506102,1,,,0.0,30,,0.0,676582ce8948af9588e17a04,1,1,d51cjua4,,,,,0
31,qwm1t1y4,67713deebb236b91f2cd106a,0,294,294,submission,Submit,2025-02-21 12:13:00.571119,1,,,0.0,31,,0.0,67713deebb236b91f2cd106a,1,1,d51cjua4,,,,,0
