participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.base_payoff,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,player.last_check_time,player.consecutive_missed_checks,group.id_in_subsession,group.current_round,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,group.disconnection_streaks,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7p9rk9ro,6765867bd50d390b8e7852db,0,37,294,main_task,WaitPage2,2025-02-21 12:00:15.134699,1,,,0.0,1,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},1,d51cjua4,,,,,0
2,3a8y64ct,5a75b131eea3d300016ddc70,0,294,294,submission,Submit,2025-02-21 12:03:20.433564,1,,,0.0,3,,0.0,,,right,left,2,1,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1B.bmp,2,2,2,3,1,option1A_tr.bmp,option1B_tr.bmp,1,0,1,0,1,1,0,1,0,0.55,0.55,3.0,3.0,3.0,3.0,40,-20,40,-20,40,10.0,0.0,0.0,-1,1,1,1,1,2,2,1,1,2,2,2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1740140436.620907,1740140457.0943615,1,2,1,1,0.59,1,0,5000,1,1740140457581.5813,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
3,bdghzdy1,659d6e087606f95235236d8e,0,294,294,submission,Submit,2025-02-21 12:04:07.756105,1,,,0.0,4,,0.0,left,right,,,1,1,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1B.bmp,2,2,2,3,1,,,1,0,1,0,1,1,0,1,0,0.28,0.28,0.16,0.5,0.78,0.42,20,-20,20,-20,20,10.0,0.0,0.0,-1,0,0,0,0,2,2,1,1,2,2,2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1740140434.7724085,1740140454.9043465,0,2,1,1,0.59,1,0,5000,1,1740140457581.5813,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
4,i56u6du9,63174af7d57182f9bf90c094,0,294,294,submission,Submit,2025-02-21 12:10:20.378272,1,,,0.0,2,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,1,3,0,4,,,1,1,1,1,0,1,1,1,1,0.56,0.56,1.89,1.74,1.43,0.81,40,40,40,40,40,10.0,0.0,0.0,1,0,0,0,0,2,2,2,1,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1740140745.6316338,1740140755.8246355,0,5,1,1,0.94,1,0,5000,1,1740140768135.5608,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
5,hhtq9cwd,672df806e7c2f55e8e2bf477,0,294,294,submission,Submit,2025-02-21 12:10:36.692843,1,,,0.0,2,,0.0,left,left,,,2,2,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,1,3,3,1,,,0,0,0,0,0,0,0,0,0,0.59,0.59,0.21,1.17,1.56,0.5,-40,-40,-40,-40,-40,10.0,0.0,0.0,-1,0,0,0,0,2,1,1,1,2,2,2,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1740140435.3511753,1740140455.6770244,0,2,1,1,0.59,1,0,5000,1,1740140457581.5813,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
6,y2u27vj8,6730f2e20f5915ff4ad2c07d,0,294,294,submission,Submit,2025-02-21 12:10:47.105284,1,,,0.0,3,,0.0,left,left,,,2,2,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,2,2,3,1,,,0,0,0,0,0,0,0,0,0,0.53,0.53,2.02,1.63,1.62,1.21,-40,-40,-40,-40,-40,10.0,0.0,0.0,-1,0,0,0,0,2,1,2,1,2,1,2,2,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1740140745.5893006,1740140765.7672157,0,5,1,1,0.94,1,0,5000,1,1740140768135.5608,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
7,wgoj2wn5,63d53d53a7a7b0379ba289cf,0,294,294,submission,Submit,2025-02-21 12:10:50.867631,1,,,0.0,5,,0.0,,right,right,,2,2,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1B.bmp,2,2,2,3,1,option1B_tr.bmp,,0,0,0,0,0,0,0,0,0,1.4,1.4,3.0,3.0,1.3,1.02,-40,-40,-40,-40,-40,10.0,0.0,0.0,-1,1,1,0,0,1,2,2,1,2,2,2,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1740141324.3873503,1740141335.0446804,0,7,1,1,2.08,1,0,5000,1,1740141345737.7324,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
8,l282lpix,6266a4e5846e1e41812a0432,0,294,294,submission,Submit,2025-02-21 12:10:58.944942,1,,,0.0,1,,0.0,right,right,,,3,3,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1B.bmp,2,3,1,2,2,,,0,0,0,0,0,0,0,0,0,0.32,0.32,1.26,2.62,0.75,0.57,-60,-60,-60,-60,-60,10.0,0.0,0.0,-1,0,0,0,0,2,2,1,2,1,1,2,2,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1740140648.908433,1740140659.3980186,0,4,1,1,0.44,1,0,5000,1,1740140671319.8171,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
9,d2w26gok,676d70fb609bf3532889f9f8,0,294,294,submission,Submit,2025-02-21 12:11:08.273769,1,,,0.0,2,,0.0,,left,left,,1,2,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,2,2,3,1,option1B_tr.bmp,,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,3.0,0.94,1.89,-20,-40,-20,-40,-20,10.0,0.0,0.0,-1,1,1,0,0,1,2,1,2,2,2,1,2,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1740141324.1418316,1740141334.7917771,0,7,1,1,2.08,1,0,5000,1,1740141345737.7324,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
10,x412kuv3,5cf765f7b026f40001fe1bc6,0,294,294,submission,Submit,2025-02-21 12:11:09.992659,1,,,0.0,2,,0.0,left,,,right,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,3,1,1,3,,option1A_tr.bmp,0,1,0,1,1,0,1,0,1,0.44,0.44,2.43,1.25,3.0,2.1,-40,40,-40,40,-40,10.0,0.0,0.0,1,0,0,1,0,2,2,1,2,2,1,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1740140649.2603436,1740140659.5381105,0,4,1,1,0.44,1,0,5000,1,1740140671319.8171,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
