participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.chosen_image_computer,player.chosen_image_computer_two,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice2_earnings,player.choice2_sum_earnings,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,group.id_in_subsession,group.current_round,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.bet_container_displayed,group.remaining_images_displayed,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,group.computer_player_choices,group.computer_player_bets,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7p9rk9ro,6765867bd50d390b8e7852db,0,37,294,main_task,WaitPage2,2025-02-21 12:00:15.134699,1,,,0.0,1,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1A.bmp,2,,,0.35,0.35,2.02,0.97,2.21,0.85,-40,-40,0.0,-1,0,0,0,0,1,0,0,1740139425.1952217,2,1,0.35,1,0,3079,1,1740139426371.1873,0,1,1,0,1,,,,"{""2"": {""choice1"": ""left"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""3"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""left"", ""bet2"": 2, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""4"": {""choice1"": ""right"", ""bet1"": 2, ""choice2"": ""right"", ""bet2"": 1, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""5"": {""choice1"": ""right"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}}",,1,d51cjua4,,,,,0
2,3a8y64ct,5a75b131eea3d300016ddc70,0,294,294,submission,Submit,2025-02-21 12:03:20.433564,1,,,0.0,1,,0.0,left,left,,,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,1,,,0.19,0.19,0.89,0.88,2.09,1.2,40,40,0.0,1,0,0,0,0,1,0,0,1740139870.4854684,10,1,0.19,1,0,3601,1,1740139872149.7375,0,1,1,0,1,,,,"{""2"": {""choice1"": ""right"", ""bet1"": 2, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""3"": {""choice1"": ""left"", ""bet1"": 2, ""choice2"": ""left"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""4"": {""choice1"": ""left"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""5"": {""choice1"": ""left"", ""bet1"": 3, ""choice2"": ""left"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}}",,1,d51cjua4,,,,,0
3,bdghzdy1,659d6e087606f95235236d8e,0,294,294,submission,Submit,2025-02-21 12:04:07.756105,1,,,0.0,1,,0.0,left,left,,,1,2,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1A.bmp,2,,,0.17,0.17,1.01,1.26,1.93,2.37,-40,-40,0.0,-1,0,0,0,0,1,0,0,1740139762.8005896,7,1,0.17,1,0,3334,1,1740139764282.7065,0,1,1,0,1,,,,"{""2"": {""choice1"": ""right"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""3"": {""choice1"": ""left"", ""bet1"": 1, ""choice2"": ""left"", ""bet2"": 1, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""4"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""left"", ""bet2"": 2, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""5"": {""choice1"": ""left"", ""bet1"": 1, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}}",,1,d51cjua4,,,,,0
4,i56u6du9,63174af7d57182f9bf90c094,0,294,294,submission,Submit,2025-02-21 12:10:20.378272,1,,,0.0,1,,0.0,left,left,,,2,2,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,,,0.37,0.37,1.42,1.92,1.35,1.55,-40,-40,0.0,-1,0,0,0,0,1,0,0,1740140525.1638775,73,1,0.37,1,0,3671,1,1740140527028.8616,0,1,1,0,1,,,,"{""2"": {""choice1"": ""right"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""3"": {""choice1"": ""right"", ""bet1"": 2, ""choice2"": ""left"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""4"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""5"": {""choice1"": ""left"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}}",,1,d51cjua4,,,,,0
5,hhtq9cwd,672df806e7c2f55e8e2bf477,0,294,294,submission,Submit,2025-02-21 12:10:36.692843,1,,,0.0,1,,0.0,left,left,,,2,3,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,,,0.43,0.43,1.26,2.19,4.42,3.32,-60,-60,0.0,-1,0,0,0,0,1,0,0,1740140269.797226,23,1,0.43,1,0,3172,1,1740140271136.252,0,1,1,0,1,,,,"{""2"": {""choice1"": ""right"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""3"": {""choice1"": ""left"", ""bet1"": 1, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""4"": {""choice1"": ""left"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""5"": {""choice1"": ""left"", ""bet1"": 1, ""choice2"": ""left"", ""bet2"": 2, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}}",,1,d51cjua4,,,,,0
6,y2u27vj8,6730f2e20f5915ff4ad2c07d,0,294,294,submission,Submit,2025-02-21 12:10:47.105284,1,,,0.0,1,,0.0,left,left,,,3,2,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,,,0.28,0.28,1.97,2.35,0.41,1.41,-40,-40,0.0,-1,0,0,0,0,1,0,0,1740140538.231715,76,1,0.28,1,0,3921,1,1740140540635.0117,0,1,1,0,1,,,,"{""2"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""left"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""3"": {""choice1"": ""left"", ""bet1"": 3, ""choice2"": ""left"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""4"": {""choice1"": ""right"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""5"": {""choice1"": ""right"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}}",,1,d51cjua4,,,,,0
7,wgoj2wn5,63d53d53a7a7b0379ba289cf,0,294,294,submission,Submit,2025-02-21 12:10:50.867631,1,,,0.0,1,,0.0,right,left,,,1,1,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1A.bmp,2,,,0.63,0.63,1.17,1.01,1.58,0.99,-20,-20,0.0,-1,0,0,0,0,1,0,0,1740140768.0699935,129,1,0.63,1,0,3026,1,1740140769447.4329,0,1,1,0,1,,,,"{""2"": {""choice1"": ""left"", ""bet1"": 2, ""choice2"": ""right"", ""bet2"": 1, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""3"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""left"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""4"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""right"", ""bet2"": 1, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""5"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}}",,1,d51cjua4,,,,,0
8,l282lpix,6266a4e5846e1e41812a0432,0,294,294,submission,Submit,2025-02-21 12:10:58.944942,1,,,0.0,1,,0.0,,left,right,,3,2,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1B.bmp,2,option1A.bmp,,2.29,2.29,6.0,1.41,2.72,2.9,-40,-40,0.0,-1,1,0,0,0,1,0,0,1740140491.0696352,63,1,2.29,1,0,3372,1,1740140492576.216,0,1,1,0,1,,,,"{""2"": {""choice1"": ""right"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""3"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""right"", ""bet2"": 1, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""4"": {""choice1"": ""left"", ""bet1"": 2, ""choice2"": ""right"", ""bet2"": 1, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""5"": {""choice1"": ""right"", ""bet1"": 3, ""choice2"": ""left"", ""bet2"": 3, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}}",,1,d51cjua4,,,,,0
9,d2w26gok,676d70fb609bf3532889f9f8,0,294,294,submission,Submit,2025-02-21 12:11:08.273769,1,,,0.0,1,,0.0,right,,,left,2,2,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1B.bmp,2,,option1B.bmp,1.35,1.35,0.33,1.1,,6.0,-40,-40,0.0,-1,0,0,1,1,0,0,0,1740141041.0886872,146,1,1.35,1,0,3447,1,1740141043624.1013,1,1,1,0,1,,,,"{""2"": {""choice1"": ""left"", ""bet1"": 2, ""choice2"": ""right"", ""bet2"": 1, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""3"": {""choice1"": ""right"", ""bet1"": 2, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""4"": {""choice1"": ""left"", ""bet1"": 3, ""choice2"": ""right"", ""bet2"": 2, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""5"": {""choice1"": ""right"", ""bet1"": 2, ""choice2"": ""right"", ""bet2"": 1, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}}",,1,d51cjua4,,,,,0
10,x412kuv3,5cf765f7b026f40001fe1bc6,0,294,294,submission,Submit,2025-02-21 12:11:09.992659,1,,,0.0,1,,0.0,right,left,,,2,2,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1A.bmp,2,,,1.7,1.7,1.49,1.04,3.14,1.86,-40,-40,0.0,-1,0,0,0,0,1,0,0,1740140449.2966774,53,1,1.7,1,0,3568,1,1740140451049.407,0,1,1,0,1,,,,"{""2"": {""choice1"": ""right"", ""bet1"": 2, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}, ""3"": {""choice1"": ""right"", ""bet1"": 1, ""choice2"": ""left"", ""bet2"": 3, ""chosen_image_one"": ""option1B.bmp"", ""chosen_image_computer"": ""option1B.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""4"": {""choice1"": ""left"", ""bet1"": 1, ""choice2"": ""left"", ""bet2"": 1, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1A.bmp"", ""chosen_image_computer_two"": ""option1A.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 1}, ""5"": {""choice1"": ""left"", ""bet1"": 1, ""choice2"": ""right"", ""bet2"": 3, ""chosen_image_one"": ""option1A.bmp"", ""chosen_image_computer"": ""option1A.bmp"", ""chosen_image_two"": ""option1B.bmp"", ""chosen_image_computer_two"": ""option1B.bmp"", ""computer_choice_one"": true, ""computer_choice_two"": true, ""trial_reward"": 0}}",,1,d51cjua4,,,,,0
