participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.base_payoff,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,player.last_check_time,player.consecutive_missed_checks,group.id_in_subsession,group.current_round,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,group.disconnection_streaks,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,3zoti92b,63d7b16595cb392c4501cc1e,0,298,298,submission,Submit,2025-02-26T15:00:05Z,1,NA,NA,0,1,NA,0,right,right,NA,NA,2,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,NA,NA,1,1,2,2,0,1,1,2,2,0.65,0.65,0.92,1.62,1.28,1.16,40,60,100,120,120,10,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1740582703.4248323,1740582713.677946,0,2,1,1,0.65,1,0,5000,1,1740582725784.6174,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
2,afizty10,603ab5961f94c168254f7104,0,298,298,submission,Submit,2025-02-26T15:00:11Z,1,NA,NA,0,2,NA,0,right,right,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,NA,NA,1,1,2,1,0,1,1,2,1,0.5,0.5,0.75,1.35,0.79,0.8,60,40,100,0,0,10,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1740582703.3094406,1740582723.5179727,0,2,1,1,0.65,1,0,5000,1,1740582725784.6174,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
3,esmriz5q,5e7e1679f8a96f4be83e51e4,0,298,298,submission,Submit,2025-02-26T15:00:15Z,1,NA,NA,0,2,NA,0,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,NA,NA,1,1,1,2,0,1,1,1,2,12.37,12.37,0.82,0.41,1.27,3,40,40,0,80,80,10,0,0,1,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1740582932.15995,1740582952.5025685,0,3,1,1,12.37,1,0,5000,1,1740582954810.4414,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
4,5emixjgp,5f60c23b536ef9026ec9ece4,0,298,298,submission,Submit,2025-02-26T15:00:29Z,1,NA,NA,0,5,NA,0,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,NA,NA,1,1,2,2,0,1,1,2,2,0.4,0.4,1.54,0.61,0.45,0.6,40,40,80,100,100,10,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1740582703.2643878,1740582713.449237,0,2,1,1,0.65,1,0,5000,1,1740582725784.6174,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
5,8f2qn992,671d39090c9e2ad9ec75a03c,0,298,298,submission,Submit,2025-02-26T15:00:38Z,1,NA,NA,0,4,NA,0,right,right,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,NA,NA,1,1,2,2,0,1,1,2,2,12.03,12.03,2.9,3,1.88,0.1,60,40,100,80,80,10,0,0,1,0,1,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1740582931.805851,1740582952.047433,0,3,1,1,12.37,1,0,5000,1,1740582954810.4414,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
6,u7ds9cx2,5b7550cb09105000015131ae,0,298,298,submission,Submit,2025-02-26T15:00:48Z,1,NA,NA,0,4,NA,0,NA,NA,left,left,3,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,option1A_tr.bmp,option1A_tr.bmp,1,1,2,1,0,1,1,2,1,0.52,0.52,3,3,3,3,60,40,100,-20,-20,10,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,4,0,0,0,1740582703.3440232,1740582713.6110978,0,2,1,1,0.65,1,0,5000,1,1740582725784.6174,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
7,jmfhfc28,5ea1dc176205ad0c7c941ca1,0,298,298,submission,Submit,2025-02-26T15:00:49Z,1,NA,NA,0,5,NA,0,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,3,1,NA,NA,1,1,2,2,0,1,1,2,2,2.5,2.5,1.73,0.72,1,0.75,60,60,100,100,100,10,0,0,1,0,0,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1740583519.729612,1740583540.7840087,0,4,1,1,2.5,1,0,5000,1,1740583542281.5007,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
9,799cuz13,66742c4307bb2004831faaef,0,298,298,submission,Submit,2025-02-26T15:00:58Z,1,NA,NA,0,3,NA,0,right,left,NA,NA,3,1,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0,4,4,0,NA,NA,0,1,1,1,1,0,1,1,1,11.84,11.84,1.44,0.51,0.51,1.13,-60,20,0,-20,-20,10,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1740582931.5971036,1740582951.868066,0,3,1,1,12.37,1,0,5000,1,1740582954810.4414,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
10,5ndr17cw,62a338fe5f31e62c27dc5e66,0,298,298,submission,Submit,2025-02-26T15:01:01Z,1,NA,NA,0,3,NA,0,NA,NA,right,left,2,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0,4,4,0,option1B_tr.bmp,option1A_tr.bmp,0,1,1,1,1,0,1,1,1,0.57,0.57,3,3,3,3,-40,40,-20,-20,-20,10,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,4,0,0,0,1740582703.3858612,1740582713.6530857,0,2,1,1,0.65,1,0,5000,1,1740582725784.6174,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
11,taqn9vla,66fc6008cda3d277a8978dbf,0,298,298,submission,Submit,2025-02-26T15:01:47Z,1,NA,NA,0,5,NA,0,left,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,4,0,NA,NA,1,1,2,2,0,1,1,2,2,11.73,11.73,1.73,2.14,2.05,0.44,40,40,60,60,60,10,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1740582931.46173,1740582951.75168,0,3,1,1,12.37,1,0,5000,1,1740582954810.4414,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,1,0,1,0,0,NA,NA,NA,{},1,40lq5pq6,NA,NA,NA,NA,0
