Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67a34213368baa7f938c55df,63ed2926a7f1c79edd8b9e74,RETURNED,Not Applicable,2025-02-05T10:59:00.217000Z,,,2025-02-05T11:40:29.736276Z,,,5,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67a34254efcfc34a2d81cdbd,607d6e86f96c147cf2b3223c,APPROVED,Not Applicable,2025-02-05T10:50:05.617000Z,2025-02-05T10:50:23.992000Z,2025-02-05T10:51:57.280000Z,2025-02-05T10:50:25.758196Z,19.0,CT07DN9I,1385,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67a3434d1e369d312b453d37,5aa696af6219a30001c75d2a,APPROVED,Not Applicable,2025-02-05T10:54:11.802000Z,2025-02-05T10:54:54.684000Z,2025-02-05T10:54:58.334000Z,2025-02-05T10:54:58.274266Z,43.0,CT07DN9I,1770,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67a3437c85953e533f9fe00b,66fd4b51cb041accd82a7740,RETURNED,Not Applicable,2025-02-05T11:04:52.426000Z,,,2025-02-05T11:40:29.737573Z,,,320,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67a343a00a406eeee2c5a06e,654cf162c4734be5a883dffa,RETURNED,Not Applicable,2025-02-05T10:55:38.283000Z,,,2025-02-05T11:40:29.741504Z,,,513,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67a3449ed09d790dd4abd944,5e1b6da99debf5393dfba2dc,APPROVED,Not Applicable,2025-02-05T10:59:48.487000Z,2025-02-05T11:00:11.295000Z,2025-02-05T11:03:21.633000Z,2025-02-05T11:00:11.977357Z,23.0,CT07DN9I,1524,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67a344cd2af0f66eb9476614,64484a0615f2c302d8bc6ea8,APPROVED,Not Applicable,2025-02-05T11:00:29.005000Z,2025-02-05T11:00:57.125000Z,2025-02-05T11:03:22.770000Z,2025-02-05T11:00:58.375926Z,29.0,CT07DN9I,296,"Chinese, English, Dutch",32,Female,Asian,United Kingdom,United Kingdom,United Kingdom,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
67a345f50c1a70fa5a30a95a,5cafc17ace1fa80017a20d6b,RETURNED,Not Applicable,2025-02-05T11:05:33.081000Z,,,2025-02-05T11:40:29.744350Z,,,2298,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67a346d1f6ff69367c764087,5e1270f1221dc48d98357c63,RETURNED,Not Applicable,2025-02-05T11:19:05.132000Z,,,2025-02-05T11:40:29.745397Z,,,781,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67a346e0d341c52ab11d9fae,67862f57b5350ebed10fac1f,APPROVED,Not Applicable,2025-02-05T11:09:29.747000Z,2025-02-05T11:10:07.100000Z,2025-02-05T11:10:08.148000Z,2025-02-05T11:10:08.012883Z,38.0,CT07DN9I,33,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
