participant.label,participant.id_in_session,player.bet1,player.bet2,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.chosen_image_one_binary,player.chosen_image_two_binary,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,group.trial_number
5c4338d8a04c050001a0a876,1,3,3,0.5,0.5,0.5,0.5,NA,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1
5c4338d8a04c050001a0a876,1,3,3,0.75,0.25,0.75,0.25,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
5c4338d8a04c050001a0a876,1,3,3,1,0,1,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3
5c4338d8a04c050001a0a876,1,3,3,1,0,0.75,0.25,NA,option1A_tr.bmp,1,1,0,0,1,1,0,0,0,0,0,0,0,1,4
5c4338d8a04c050001a0a876,1,3,3,0.75,0.25,0.75,0.25,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5
5c4338d8a04c050001a0a876,1,3,3,1,0,1,0,NA,option1A_tr.bmp,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6
5c4338d8a04c050001a0a876,1,3,3,1,0,1,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
5c4338d8a04c050001a0a876,1,3,3,1,0,1,0,NA,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8
5c4338d8a04c050001a0a876,1,3,3,0.5,0.5,0.5,0.5,NA,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9
5c4338d8a04c050001a0a876,1,3,3,1,0,1,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10
5c4338d8a04c050001a0a876,1,3,3,1,0,1,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11
5c4338d8a04c050001a0a876,1,1,1,0,1,0,1,NA,option1B_tr.bmp,2,2,0,0,1,1,0,0,0,0,0,0,0,0,12
5c4338d8a04c050001a0a876,1,3,3,0.25,0.75,0.75,0.25,NA,option1B_tr.bmp,1,2,0,0,1,0,0,0,0,0,0,0,0,0,13
5c4338d8a04c050001a0a876,1,3,3,0.75,0.25,0.75,0.25,NA,NA,1,1,0,0,0,0,0,0,1,0,0,0,1,0,14
5c4338d8a04c050001a0a876,1,3,3,0.75,0.25,1,0,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,15
5c4338d8a04c050001a0a876,1,3,3,0.75,0.25,1,0,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,16
5c4338d8a04c050001a0a876,1,3,3,1,0,1,0,NA,NA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,17
5c4338d8a04c050001a0a876,1,3,3,0,1,0,1,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,18
5c4338d8a04c050001a0a876,1,3,3,0.75,0.25,0.75,0.25,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19
5c4338d8a04c050001a0a876,1,3,3,0.5,0.5,0.5,0.5,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20
5c4338d8a04c050001a0a876,1,3,3,1,0,1,0,NA,NA,2,2,0,0,0,1,0,0,0,0,0,0,0,0,21
5c4338d8a04c050001a0a876,1,3,3,0,1,1,0,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,22
5c4338d8a04c050001a0a876,1,3,3,0.5,0.5,0.25,0.75,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23
